Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Justin Abdelkader,--,L,L,1987-02-25,Muskegon,MI,USA,USA,74,213,2005,2,42,20072008,N,49,0,3,3
Noel Acciari,PIT,R,C,1991-12-01,Johnston,RI,USA,USA,70,209,--,--,--,20152016,N,66,20,7,27
Andrew Agozzino,ANA,L,L,1991-01-03,Kleinburg,ON,CAN,CAN,70,187,--,--,--,20142015,N,22,1,2,3
Sebastian Aho,CAR,L,C,1997-07-26,Rauma,--,FIN,FIN,72,176,2015,2,35,20162017,N,68,38,28,66
Michael Amadio,VGK,R,R,1996-05-13,Sault Ste. Marie,ON,CAN,CAN,73,200,2014,3,90,20172018,N,68,6,10,16
Joey Anderson,CHI,R,R,1998-06-19,Roseville,MN,USA,USA,72,207,2016,3,73,20182019,N,18,4,2,6
Josh Anderson,MTL,R,R,1994-05-07,Burlington,ON,CAN,CAN,75,224,2012,4,95,20142015,N,26,1,3,4
Lias Andersson,MTL,L,C,1998-10-13,Smogen,--,SWE,SWE,72,185,2017,1,7,20172018,N,17,0,1,1
Rasmus Andersson,CGY,R,D,1996-10-27,Malmo,--,SWE,SWE,73,202,2015,2,53,20162017,N,70,5,17,22
Andy Andreoff,--,L,C,1991-05-17,Pickering,ON,CAN,CAN,73,208,2011,3,80,20142015,N,14,0,1,1
Artem Anisimov,--,L,C,1988-05-24,Yaroslavl,--,RUS,RUS,76,199,2006,2,54,20082009,N,49,15,5,20
Mason Appleton,WPG,R,C,1996-01-15,Green Bay,WI,USA,USA,74,194,2015,6,168,20182019,N,46,5,3,8
Josh Archibald,--,R,R,1992-10-06,Regina,SK,CAN,CAN,70,176,2011,6,174,20152016,N,62,12,9,21
Joel Armia,MTL,R,R,1993-05-31,Pori,--,FIN,FIN,75,216,2011,1,16,20142015,N,58,16,14,30
Viktor Arvidsson,LAK,R,R,1993-04-08,Skelleftea,--,SWE,SWE,70,185,2014,4,112,20142015,N,57,15,13,28
Rasmus Asplund,FLA,L,C,1997-12-03,Filipstad,--,SWE,SWE,71,185,2016,2,33,20192020,N,29,1,2,3
Zach Aston-Reese,DET,L,C,1994-08-10,Staten Island,NY,USA,USA,73,205,--,--,--,20172018,N,57,6,7,13
Andreas Athanasiou,CHI,L,C,1994-08-06,Woodbridge,ON,CAN,CAN,74,190,2012,4,110,20152016,N,55,11,15,26
Cam Atkinson,PHI,R,R,1989-06-05,Riverside,CT,USA,USA,68,175,2008,6,157,20112012,N,44,12,14,26
Nicolas Aube-Kubel,WSH,R,R,1996-05-10,Slave Lake,AB,CAN,CAN,72,207,2014,2,48,20182019,N,36,7,8,15
David Backes,--,R,R,1984-05-01,Minneapolis,MN,USA,USA,75,215,2003,2,62,20062007,N,22,1,5,6
Mikael Backlund,CGY,L,C,1989-03-17,Vasteras,--,SWE,SWE,72,206,2007,1,24,20082009,N,70,16,29,45
Nicklas Backstrom,WSH,L,C,1987-11-23,Gavle,--,SWE,SWE,73,202,2006,1,4,20072008,N,61,12,42,54
Josh Bailey,--,L,R,1989-10-02,Bowmanville,ON,CAN,CAN,73,200,2008,1,9,20082009,N,68,14,29,43
Rudolfs Balcers,--,L,L,1997-04-08,Liepaja,--,LVA,LVA,71,182,2015,5,142,20182019,N,15,1,2,3
Ivan Barbashev,VGK,L,C,1995-12-14,Moscow,--,RUS,RUS,72,198,2014,2,33,20162017,N,69,11,15,26
Mark Barberio,--,L,D,1990-03-23,Montréal,QC,CAN,CAN,73,200,2008,6,152,20122013,N,21,0,2,2
Cole Bardreau,--,R,C,1993-07-22,Fairport,NY,USA,USA,70,184,--,--,--,20192020,N,10,1,1,2
Aleksander Barkov,FLA,L,C,1995-09-02,Tampere,--,FIN,FIN,75,215,2013,1,2,20132014,N,66,20,42,62
Tyson Barrie,NSH,R,D,1991-07-26,Victoria,BC,CAN,CAN,71,197,2009,3,64,20112012,N,70,5,34,39
Mathew Barzal,NYI,R,C,1997-05-26,Coquitlam,BC,CAN,CAN,73,190,2015,1,16,20162017,N,68,19,41,60
Drake Batherson,OTT,R,R,1998-04-27,Fort Wayne,IN,USA,CAN,75,203,2017,4,121,20182019,N,23,3,7,10
Jay Beagle,--,R,C,1985-10-16,Calgary,AB,CAN,CAN,75,210,--,--,--,20082009,N,55,2,6,8
Ethan Bear,WSH,R,D,1997-06-26,Regina,SK,CAN,CAN,71,197,2015,5,124,20172018,N,71,5,16,21
J.C. Beaudin,--,R,C,1997-03-25,Longueuil,QC,CAN,CAN,73,196,2015,3,71,20192020,N,22,0,1,1
Nathan Beaulieu,--,L,D,1992-12-05,Strathroy,ON,CAN,CAN,74,200,2011,1,17,20122013,N,38,1,7,8
Anthony Beauvillier,NSH,L,L,1997-06-08,Sorel-Tracy,QC,CAN,CAN,71,180,2015,1,28,20162017,N,68,18,21,39
Pierre-Edouard Bellemare,SEA,L,L,1985-03-06,Le Blanc-Mesnil,--,FRA,FRA,71,198,--,--,--,20142015,N,69,9,13,22
Emil Bemstrom,PIT,R,C,1999-06-01,Nykoping,--,SWE,SWE,72,195,2017,4,117,20192020,N,56,10,10,20
Jamie Benn,DAL,L,L,1989-07-18,Victoria,BC,CAN,CAN,74,205,2007,5,129,20092010,N,69,19,20,39
Jordie Benn,--,L,D,1987-07-26,Victoria,BC,CAN,CAN,74,201,--,--,--,20112012,N,44,1,6,7
