Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Sam Bennett,FLA,L,C,1996-06-20,Holland Landing,ON,CAN,CAN,73,195,2014,1,4,20142015,N,52,8,4,12
Matt Benning,SJS,R,D,1994-05-25,Edmonton,AB,CAN,CAN,73,203,2012,6,175,20162017,N,43,1,7,8
Patrice Bergeron,--,R,C,1985-07-24,L'Ancienne-Lorette,QC,CAN,CAN,73,196,2003,2,45,20032004,N,61,31,25,56
Lean Bergmann,--,L,C,1998-10-04,Hemer,--,DEU,DEU,74,205,--,--,--,20192020,N,12,0,1,1
Tyler Bertuzzi,TOR,L,L,1995-02-24,Sudbury,ON,CAN,CAN,74,200,2013,2,58,20162017,N,71,21,27,48
Alex Biega,--,R,D,1988-04-04,Montréal,QC,CAN,CAN,70,195,2006,5,147,20142015,N,49,0,3,3
Anthony Bitetto,--,L,D,1990-07-15,Island Park,NY,USA,USA,73,222,2010,6,168,20142015,N,51,0,8,8
Anders Bjork,--,L,L,1996-08-05,Mequon,WI,USA,USA,72,190,2014,5,146,20172018,N,58,9,10,19
Oliver Bjorkstrand,SEA,R,R,1995-04-10,Herning,--,DNK,DNK,72,175,2013,3,89,20152016,N,49,21,15,36
Nick Bjugstad,ARI,R,C,1992-07-17,Minneapolis,MN,USA,USA,78,209,2010,1,19,20122013,N,13,1,1,2
Colin Blackwell,CHI,R,C,1993-03-28,North Andover,MA,USA,USA,69,190,2011,7,194,20182019,N,27,3,7,10
Sammy Blais,STL,L,L,1996-06-17,Montmagny,QC,CAN,CAN,74,206,2014,6,176,20172018,N,40,6,7,13
Joseph Blandisi,--,L,C,1994-07-18,Markham,ON,CAN,CAN,72,184,2012,6,162,20152016,N,21,2,3,5
Teddy Blueger,VAN,L,C,1994-08-15,Riga,--,LVA,LVA,72,185,2012,2,52,20182019,N,69,9,13,22
Mikkel Boedker,--,L,L,1989-12-16,Brondby,--,DNK,DNK,71,207,2008,1,8,20082009,N,20,2,2,4
Brock Boeser,VAN,R,R,1997-02-25,Burnsville,MN,USA,USA,73,208,2015,1,23,20162017,N,57,16,29,45
Zach Bogosian,MIN,R,D,1990-07-15,Massena,NY,USA,USA,75,231,2008,1,3,20082009,N,27,1,6,7
Nick Bonino,--,L,C,1988-04-20,Hartford,CT,USA,USA,73,198,2007,6,173,20092010,N,67,18,17,35
Adam Boqvist,CBJ,R,D,2000-08-15,Falun,--,SWE,SWE,72,189,2018,1,8,20192020,N,41,4,9,13
Jesper Boqvist,BOS,L,C,1998-10-30,Falun,--,SWE,SWE,73,184,2017,2,36,20192020,N,35,4,0,4
Mark Borowiecki,--,L,D,1989-07-12,Ottawa,ON,CAN,CAN,74,204,2008,5,139,20112012,N,53,7,11,18
Robert Bortuzzo,NYI,R,D,1989-03-18,Thunder Bay,ON,CAN,CAN,76,216,2007,3,78,20112012,N,42,2,4,6
Gabriel Bourque,--,L,L,1990-09-23,Rimouski,QC,CAN,CAN,70,206,2009,5,132,20112012,N,52,2,4,6
Jay Bouwmeester,--,L,D,1983-09-27,Edmonton,AB,CAN,CAN,76,206,2002,1,3,20022003,N,56,1,8,9
Madison Bowey,--,R,D,1995-04-22,Winnipeg,MB,CAN,CAN,73,207,2013,2,53,20172018,N,53,3,14,17
Johnny Boychuk,--,R,D,1984-01-19,Edmonton,AB,CAN,CAN,74,227,2002,2,61,20072008,N,64,2,9,11
Travis Boyd,ARI,R,C,1993-09-14,Hopkins,MN,USA,USA,72,190,2011,6,177,20172018,N,24,3,7,10
Brian Boyle,--,L,C,1984-12-18,Hingham,MA,USA,USA,78,245,2003,1,26,20072008,N,39,6,9,15
Tyler Bozak,--,R,C,1986-03-19,Regina,SK,CAN,CAN,73,187,--,--,--,20092010,N,67,13,16,29
Erik Brannstrom,OTT,L,D,1999-09-02,Eksjo,--,SWE,SWE,70,185,2017,1,15,20182019,N,31,0,4,4
Derick Brassard,--,L,C,1987-09-22,Hull,QC,CAN,CAN,73,200,2006,1,6,20072008,N,66,10,22,32
Jesper Bratt,NJD,L,L,1998-07-30,Stockholm,--,SWE,SWE,70,175,2016,6,162,20172018,N,60,16,16,32
Justin Braun,--,R,D,1987-02-10,Minneapolis,MN,USA,USA,74,205,2007,7,201,20102011,N,62,3,16,19
TJ Brodie,TOR,L,D,1990-06-07,Chatham,ON,CAN,CAN,74,187,2008,4,114,20102011,N,64,4,15,19
Jonas Brodin,MIN,L,D,1993-07-12,Karlstad,--,SWE,SWE,74,196,2011,1,10,20122013,N,69,2,26,28
Troy Brouwer,--,R,R,1985-08-17,Vancouver,BC,CAN,CAN,75,213,2004,7,214,20062007,N,13,1,0,1
Connor Brown,EDM,R,R,1994-01-14,Toronto,ON,CAN,CAN,72,184,2012,6,156,20152016,N,71,16,27,43
Dustin Brown,--,R,R,1984-11-04,Ithaca,NY,USA,USA,72,205,2003,1,13,20032004,N,66,17,18,35
Josh Brown,ARI,R,D,1994-01-21,London,ON,CAN,CAN,77,220,2013,6,152,20182019,N,56,3,5,8
Logan Brown,TBL,L,C,1998-03-05,Raleigh,NC,USA,USA,79,229,2016,1,11,20172018,N,23,1,7,8
Pavel Buchnevich,STL,L,L,1995-04-17,Cherepovets,--,RUS,RUS,73,196,2013,3,75,20162017,N,68,16,30,46
Connor Bunnaman,--,L,C,1998-04-16,Guelph,ON,CAN,CAN,73,207,2016,4,109,20192020,N,21,1,1,2
Andre Burakovsky,SEA,L,L,1995-02-09,Klagenfurt,--,AUT,SWE,75,209,2013,1,23,20142015,N,58,20,25,45
Brent Burns,CAR,R,D,1985-03-09,Barrie,ON,CAN,CAN,77,230,2003,1,20,20032004,N,70,12,33,45
Will Butcher,MIN,L,D,1995-01-06,Sun Prairie,WI,USA,USA,70,195,2013,5,123,20172018,N,56,4,17,21
Paul Byron,--,L,L,1989-04-27,Ottawa,ON,CAN,CAN,69,164,2007,6,179,20102011,N,29,4,6,10
Nick Caamano,DAL,L,R,1998-09-07,Ancaster,ON,CAN,CAN,75,202,2016,5,146,20192020,N,12,1,1,2
Drake Caggiula,EDM,L,L,1994-06-20,Pickering,ON,CAN,CAN,70,179,--,--,--,20162017,N,40,9,6,15
Matt Calvert,--,L,L,1989-12-24,Brandon,MB,CAN,CAN,71,186,2008,5,127,20102011,N,50,12,13,25
Brandon Carlo,BOS,R,D,1996-11-26,Colorado Springs,CO,USA,USA,77,217,2015,2,37,20162017,N,67,4,15,19
John Carlson,WSH,R,D,1990-01-10,Natick,MA,USA,USA,75,215,2008,1,27,20092010,N,69,15,60,75
Ryan Carpenter,SJS,R,C,1991-01-18,Oviedo,FL,USA,USA,73,198,--,--,--,20152016,N,69,3,12,15
Daniel Carr,--,L,L,1991-11-01,Sherwood Park,AB,CAN,CAN,72,186,--,--,--,20152016,N,11,1,0,1
Connor Carrick,SEA,R,D,1994-04-13,Orland Park,IL,USA,USA,70,198,2012,5,137,20132014,N,29,1,5,6
William Carrier,VGK,L,L,1994-12-20,LaSalle,QC,CAN,CAN,74,220,2013,2,57,20162017,N,71,7,12,19
Jeff Carter,PIT,R,C,1985-01-01,London,ON,CAN,CAN,75,219,2003,1,11,20052006,N,60,17,10,27
Colby Cave,--,L,C,1994-12-26,Battleford,SK,CAN,CAN,73,200,--,--,--,20172018,N,11,1,0,1
Cody Ceci,EDM,R,D,1993-12-21,Ottawa,ON,CAN,CAN,75,210,2012,1,15,20132014,N,56,1,7,8
Erik Cernak,TBL,R,D,1997-05-28,Kosice,--,SVK,SVK,75,230,2015,2,43,20182019,N,67,5,7,12
Thomas Chabot,OTT,L,D,1997-01-30,Sainte-Marie,QC,CAN,CAN,74,203,2015,1,18,20162017,N,71,6,33,39
Zdeno Chara,--,L,D,1977-03-18,Trencin,--,SVK,SVK,81,250,1996,3,56,19971998,N,68,5,9,14
Ben Chiarot,DET,L,D,1991-05-09,Hamilton,ON,CAN,CAN,75,224,2009,4,120,20132014,N,69,9,12,21
Alex Chiasson,--,R,R,1990-10-01,Montréal,QC,CAN,CAN,76,208,2009,2,38,20122013,N,65,11,13,24
Filip Chlapik,--,L,C,1997-06-03,Prague,--,CZE,CZE,74,194,2015,2,48,20172018,N,31,3,3,6
Dennis Cholowski,NYI,L,D,1998-02-15,Langley,BC,CAN,CAN,74,210,2016,1,20,20182019,N,36,2,6,8
Jakob Chychrun,OTT,L,D,1998-03-31,Boca Raton,FL,USA,CAN,74,205,2016,1,16,20162017,N,63,12,14,26
Filip Chytil,NYR,L,C,1999-09-05,Kromeriz,--,CZE,CZE,74,208,2017,1,21,20172018,N,60,14,9,23
Anthony Cirelli,TBL,L,C,1997-07-15,Etobicoke,ON,CAN,CAN,73,190,2015,3,72,20172018,N,68,16,28,44
Casey Cizikas,NYI,L,C,1991-02-27,Toronto,ON,CAN,CAN,71,194,2009,4,92,20112012,N,48,10,4,14
Kyle Clifford,TOR,L,L,1991-01-13,Ayr,ON,CAN,CAN,74,218,2009,2,35,20102011,N,69,7,10,17
Connor Clifton,BUF,R,D,1995-04-28,Matawan,NJ,USA,USA,71,192,2013,5,133,20182019,N,31,2,0,2
Cal Clutterbuck,NYI,R,R,1987-11-18,Welland,ON,CAN,CAN,71,215,2006,3,72,20072008,N,37,3,4,7
Braydon Coburn,--,L,D,1985-02-27,Shaunavon,SK,CAN,CAN,77,224,2003,1,8,20052006,N,40,1,3,4
Andrew Cogliano,COL,L,C,1987-06-14,Toronto,ON,CAN,CAN,70,179,2005,1,25,20072008,N,68,3,11,14
Ian Cole,VAN,L,D,1989-02-21,Ann Arbor,MI,USA,USA,73,225,2007,1,18,20102011,N,65,4,22,26
Blake Coleman,CGY,L,C,1991-11-28,Plano,TX,USA,USA,71,199,2011,3,75,20162017,N,66,21,11,32
Blake Comeau,--,R,L,1986-02-18,Meadow Lake,SK,CAN,CAN,73,200,2004,2,47,20062007,N,55,8,8,16
J.T. Compher,DET,R,L,1995-04-08,Northbrook,IL,USA,USA,72,190,2013,2,35,20162017,N,67,11,20,31
Maxime Comtois,CAR,L,L,1999-01-08,Longueuil,QC,CAN,CAN,74,210,2017,2,50,20182019,N,29,5,6,11
Brett Connolly,--,R,R,1992-05-02,Campbell River,BC,CAN,CAN,75,198,2010,1,6,20112012,N,69,19,14,33
Kyle Connor,WPG,L,L,1996-12-09,Shelby Township,MI,USA,USA,73,183,2015,1,17,20162017,N,71,38,35,73
Andrew Copp,DET,L,C,1994-07-08,Ann Arbor,MI,USA,USA,73,203,2013,4,104,20142015,N,63,10,16,26
Nick Cousins,FLA,L,C,1993-07-20,Belleville,ON,CAN,CAN,71,186,2011,3,68,20142015,N,65,10,15,25
Logan Couture,SJS,L,C,1989-03-28,Guelph,ON,CAN,CAN,73,206,2007,1,9,20092010,N,52,16,23,39
Sean Couturier,PHI,L,C,1992-12-07,Phoenix,AZ,USA,CAN,76,210,2011,1,8,20112012,N,69,22,37,59
Charlie Coyle,BOS,R,C,1992-03-02,East Weymouth,MA,USA,USA,75,218,2010,1,28,20122013,N,70,16,21,37
Sidney Crosby,PIT,L,C,1987-08-07,Cole Harbour,NS,CAN,CAN,71,200,2005,1,1,20052006,N,41,16,31,47
Lawson Crouse,ARI,L,L,1997-06-23,Mt. Brydges,ON,CAN,CAN,76,215,2015,1,11,20162017,N,66,15,10,25
Kirby Dach,MTL,R,C,2001-01-21,Fort Saskatchewan,AB,CAN,CAN,76,217,2019,1,3,20192020,N,64,8,15,23
Evgenii Dadonov,DAL,L,R,1989-03-12,Chelyabinsk,--,RUS,RUS,72,185,2007,3,71,20092010,N,69,25,22,47
Rasmus Dahlin,BUF,L,D,2000-04-13,Lidkoping,--,SWE,SWE,75,204,2018,1,1,20182019,N,59,4,36,40
Carl Dahlstrom,--,L,D,1995-01-28,Stockholm,--,SWE,SWE,76,231,2013,2,51,20172018,N,15,0,1,1
Michael Dal Colle,--,L,L,1996-06-20,Woodbridge,ON,CAN,CAN,75,195,2014,1,5,20172018,N,53,4,6,10
Trevor Daley,--,L,D,1983-10-09,Toronto,ON,CAN,CAN,71,199,2002,2,43,20032004,N,43,0,7,7
Phillip Danault,LAK,L,C,1993-02-24,Victoriaville,QC,CAN,CAN,73,200,2011,1,26,20142015,N,71,13,34,47
Brandon Davidson,--,L,D,1991-08-21,Taber,AB,CAN,CAN,74,204,2010,6,162,20142015,N,12,0,0,0
Calvin de Haan,TBL,L,D,1991-05-09,Carp,ON,CAN,CAN,73,192,2009,1,12,20112012,N,29,1,5,6
Jacob de la Rose,--,L,L,1995-05-20,Arvika,--,SWE,SWE,75,215,2013,2,34,20142015,N,50,2,7,9
Tony DeAngelo,CAR,R,D,1995-10-24,Sewell,NJ,USA,USA,71,180,2014,1,19,20162017,N,68,15,38,53
Alex DeBrincat,DET,R,R,1997-12-18,Farmington Hills,MI,USA,USA,68,180,2016,2,39,20172018,N,70,18,27,45
Jake DeBrusk,BOS,L,L,1996-10-17,Edmonton,AB,CAN,CAN,73,198,2015,1,14,20172018,N,65,19,16,35
Michael Del Zotto,--,L,D,1990-06-24,Stouffville,ON,CAN,CAN,72,195,2008,1,20,20092010,N,49,2,13,15
Dylan DeMelo,WPG,R,D,1993-05-01,London,ON,CAN,CAN,73,194,2011,6,179,20152016,N,59,0,10,10
Jason Demers,--,R,D,1988-06-09,Dorval,QC,CAN,CAN,73,195,2008,7,186,20092010,N,50,0,11,11
Travis Dermott,ARI,L,D,1996-12-22,Newmarket,ON,CAN,CAN,72,202,2015,2,34,20172018,N,56,4,7,11
Nicolas Deslauriers,PHI,L,L,1991-02-22,LaSalle,QC,CAN,CAN,73,218,2009,3,84,20132014,N,59,7,6,13
Phillip Di Giuseppe,VAN,L,L,1993-10-09,Toronto,ON,CAN,CAN,72,193,2012,2,38,20152016,N,20,1,3,4
Jason Dickinson,CHI,L,C,1995-07-04,Georgetown,ON,CAN,CAN,74,200,2013,1,29,20152016,N,65,9,12,21
Brenden Dillon,WPG,L,D,1990-11-13,New Westminster,BC,CAN,CAN,76,225,--,--,--,20112012,N,69,1,13,14
Christian Djoos,--,L,D,1994-08-06,Gothenburg,--,SWE,SWE,72,180,2012,7,195,20172018,N,11,1,2,3
Noah Dobson,NYI,R,D,2000-01-07,Summerside,PE,CAN,CAN,76,200,2018,1,12,20192020,N,34,1,6,7
Max Domi,TOR,L,C,1995-03-02,Winnipeg,MB,CAN,CAN,70,208,2013,1,12,20152016,N,71,17,27,44
Ryan Donato,CHI,L,C,1996-04-09,Boston,MA,USA,USA,72,190,2014,2,56,20172018,N,62,14,9,23
Joonas Donskoi,--,R,R,1992-04-13,Raahe,--,FIN,FIN,72,185,2010,4,99,20152016,N,65,16,17,33
Drew Doughty,LAK,R,D,1989-12-08,London,ON,CAN,CAN,73,210,2008,1,2,20082009,N,67,7,28,35
Nic Dowd,WSH,R,C,1990-05-27,Huntsville,AL,USA,USA,73,193,2009,7,198,20152016,N,56,7,8,15
Justin Dowling,NJD,L,C,1990-10-01,Calgary,AB,CAN,CAN,70,180,--,--,--,20162017,N,29,3,3,6
Leon Draisaitl,EDM,L,C,1995-10-27,Cologne,--,DEU,DEU,74,209,2014,1,3,20142015,N,71,43,67,110
Jonathan Drouin,COL,L,L,1995-03-28,Ste-Agathe,QC,CAN,CAN,71,198,2013,1,3,20142015,N,27,7,8,15
Dillon Dube,CGY,L,C,1998-07-20,Golden,BC,CAN,CAN,71,185,2016,2,56,20182019,N,45,6,10,16
Pierre-Luc Dubois,LAK,L,C,1998-06-24,Ste-Agathe-des-Monts,QC,CAN,CAN,76,225,2016,1,3,20172018,N,70,18,31,49
Matt Duchene,DAL,L,C,1991-01-16,Haliburton,ON,CAN,CAN,73,210,2009,1,3,20092010,N,66,13,29,42
Anthony Duclair,TBL,L,L,1995-08-26,Pointe-Claire,QC,CAN,CAN,71,197,2013,3,80,20142015,N,66,23,17,40
Mathew Dumba,TBL,R,D,1994-07-25,Regina,SK,CAN,CAN,72,181,2012,1,7,20132014,N,69,6,18,24
Brian Dumoulin,SEA,L,D,1991-09-06,Biddeford,ME,USA,USA,76,207,2009,2,51,20132014,N,28,1,7,8
Vince Dunn,SEA,L,D,1996-10-29,Mississauga,ON,CAN,CAN,72,200,2015,2,56,20172018,N,71,9,14,23
Christian Dvorak,MTL,L,C,1996-02-02,Palos,IL,USA,USA,73,192,2014,2,58,20162017,N,70,18,20,38
Ryan Dzingel,--,L,C,1992-03-09,Wheaton,IL,USA,USA,72,190,2011,7,204,20152016,N,64,8,21,29
Cody Eakin,--,L,C,1991-05-24,Winnipeg,MB,CAN,CAN,72,196,2009,3,85,20112012,N,49,5,10,15
Jordan Eberle,SEA,R,R,1990-05-15,Regina,SK,CAN,CAN,71,190,2008,1,22,20102011,N,58,16,24,40
Alexander Edler,--,L,D,1986-04-21,Ostersund,--,SWE,SWE,76,210,2004,3,91,20062007,N,59,5,28,33
Joel Edmundson,TOR,L,D,1993-06-28,Brandon,MB,CAN,CAN,77,221,2011,2,46,20152016,N,68,7,13,20
Nikolaj Ehlers,WPG,L,L,1996-02-14,Aalborg,--,DNK,DNK,72,172,2014,1,9,20152016,N,71,25,33,58
Christoffer Ehn,--,L,C,1996-04-05,Skara,--,SWE,SWE,75,195,2014,4,106,20182019,N,54,2,2,4
Jack Eichel,VGK,R,C,1996-10-28,North Chelmsford,MA,USA,USA,74,203,2015,1,2,20152016,N,68,36,42,78
Aaron Ekblad,FLA,R,D,1996-02-07,Windsor,ON,CAN,CAN,76,215,2014,1,1,20142015,N,67,5,36,41
Mattias Ekholm,EDM,L,D,1990-05-24,Borlange,--,SWE,SWE,77,225,2009,4,102,20112012,N,68,8,25,33
Oliver Ekman-Larsson,FLA,L,D,1991-07-17,Karlskrona,--,SWE,SWE,74,191,2009,1,6,20102011,N,66,9,21,30
Lars Eller,PIT,L,C,1989-05-08,Rodovre,--,DNK,DNK,74,205,2007,1,13,20092010,N,69,16,23,39
Ryan Ellis,PHI,R,D,1991-01-03,Hamilton,ON,CAN,CAN,70,180,2009,1,11,20112012,N,49,8,30,38
Deryk Engelland,--,R,D,1982-04-03,Edmonton,AB,CAN,CAN,74,212,2000,6,194,20092010,N,49,1,5,6
Andreas Englund,LAK,L,D,1996-01-21,Stockholm,--,SWE,SWE,76,200,2014,2,40,20162017,N,24,0,3,3
Pierre Engvall,NYI,L,L,1996-05-31,Ljungby,--,SWE,SWE,77,215,2014,7,188,20192020,N,48,8,7,15
Tyler Ennis,--,L,R,1989-10-06,Edmonton,AB,CAN,CAN,69,160,2008,1,26,20092010,N,70,16,21,37
Jonathan Ericsson,--,L,D,1984-03-02,Karlskrona,--,SWE,SWE,76,218,2002,9,291,20072008,N,18,0,0,0
Loui Eriksson,--,L,L,1985-07-17,Gothenburg,--,SWE,SWE,74,179,2003,2,33,20062007,N,49,6,7,13
Joel Eriksson Ek,MIN,L,C,1997-01-29,Karlstad,--,SWE,SWE,75,207,2015,1,20,20162017,N,62,8,21,29
Adam Erne,EDM,L,L,1995-04-20,New Haven,CT,USA,USA,73,215,2013,2,33,20162017,N,56,2,3,5
Jake Evans,MTL,R,C,1996-06-02,Toronto,ON,CAN,CAN,73,187,2014,7,207,20192020,N,13,2,1,3
Robby Fabbri,DET,L,C,1996-01-22,Mississauga,ON,CAN,CAN,73,185,2014,1,21,20152016,N,61,15,17,32
Dante Fabbro,NSH,R,D,1998-06-20,Coquitlam,BC,CAN,CAN,72,189,2016,1,17,20182019,N,64,5,6,11
Radek Faksa,DAL,L,C,1994-01-09,Vitkov,--,CZE,CZE,75,215,2012,1,13,20152016,N,66,11,9,20
Oscar Fantenberg,--,L,D,1991-10-07,Ljunby,--,SWE,SWE,72,206,--,--,--,20172018,N,36,1,5,6
Joel Farabee,PHI,L,L,2000-02-25,Syracuse,NY,USA,USA,72,186,2018,1,14,20192020,N,52,8,13,21
Jesper Fast,CAR,R,R,1991-12-02,Nassjo,--,SWE,SWE,73,191,2010,6,157,20132014,N,69,12,17,29
Justin Faulk,STL,R,D,1992-03-20,South St. Paul,MN,USA,USA,72,214,2010,2,37,20112012,N,69,5,11,16
Taylor Fedun,PIT,R,D,1988-06-04,Edmonton,AB,CAN,CAN,73,200,--,--,--,20132014,N,27,2,7,9
Micheal Ferland,--,L,L,1992-04-20,Swan River,MB,CAN,CAN,73,217,2010,5,133,20142015,N,14,1,4,5
Mario Ferraro,SJS,L,D,1998-09-17,Toronto,ON,CAN,CAN,72,209,2017,2,49,20192020,N,61,2,9,11
Kevin Fiala,LAK,L,L,1996-07-22,St. Gallen,--,CHE,CHE,72,205,2014,1,11,20142015,N,64,23,31,54
Valtteri Filppula,--,L,C,1984-03-20,Vantaa,--,FIN,FIN,72,189,2002,3,95,20052006,N,70,6,15,21
Christian Fischer,DET,R,R,1997-04-15,Chicago,IL,USA,USA,74,212,2015,2,32,20162017,N,56,6,3,9
Cale Fleury,SEA,R,D,1998-11-19,Carlyle,SK,CAN,CAN,73,204,2017,3,87,20192020,N,41,1,0,1
Haydn Fleury,TBL,L,D,1996-07-08,Carlyle,SK,CAN,CAN,76,207,2014,1,7,20172018,N,45,4,10,14
Warren Foegele,EDM,L,L,1996-04-01,Markham,ON,CAN,CAN,74,204,2014,3,67,20172018,N,68,13,17,30
Marcus Foligno,MIN,L,L,1991-08-10,Buffalo,NY,USA,CAN,75,226,2009,4,104,20112012,N,59,11,14,25
Nick Foligno,CHI,L,L,1987-10-31,Buffalo,NY,USA,USA,72,210,2006,1,28,20072008,N,67,10,21,31
Christian Folin,--,R,D,1991-02-09,Gothenburg,--,SWE,SWE,76,204,--,--,--,20132014,N,16,1,1,2
Derek Forbort,BOS,L,D,1992-03-04,Duluth,MN,USA,USA,76,216,2010,1,15,20152016,N,20,0,1,1
Filip Forsberg,NSH,R,L,1994-08-13,Ostervala,--,SWE,SWE,73,205,2012,1,11,20122013,N,63,21,27,48
Cam Fowler,ANA,L,D,1991-12-05,Windsor,ON,CAN,USA,74,215,2010,1,12,20102011,N,59,9,20,29
Adam Fox,NYR,R,D,1998-02-17,Jericho,NY,USA,USA,71,185,2016,3,66,20192020,N,70,8,34,42
Martin Frk,--,R,R,1993-10-05,Pelhrimov,--,CZE,CZE,73,210,2012,2,49,20162017,N,17,6,2,8
