Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Noel Acciari,PIT,R,C,1991-12-01,Johnston,RI,USA,USA,70,209,--,--,--,20152016,N,77,14,9,23
Calen Addison,SJS,R,D,2000-04-11,Brandon,MB,CAN,CAN,71,173,2018,2,53,20202021,N,62,3,26,29
Egor Afanasyev,NSH,L,L,2001-01-23,Tver,--,RUS,RUS,76,211,2019,2,45,20222023,N,17,1,0,1
Sebastian Aho,CAR,L,C,1997-07-26,Rauma,--,FIN,FIN,72,176,2015,2,35,20162017,N,75,36,31,67
Sebastian Aho,NYI,L,D,1996-02-17,Umea,--,SWE,SWE,70,180,2017,5,139,20172018,N,71,5,18,23
Nikita Alexandrov,STL,L,C,2000-09-16,Burgwedel,--,DEU,DEU,73,177,2019,2,62,20222023,N,28,3,4,7
Alexander Alexeyev,WSH,L,D,1999-11-15,St. Petersburg,--,RUS,RUS,76,213,2018,1,31,20212022,N,32,0,5,5
Wade Allison,NSH,R,R,1997-10-14,Carman,MB,CAN,CAN,74,205,2016,2,52,20202021,N,60,9,6,15
Michael Amadio,VGK,R,R,1996-05-13,Sault Ste. Marie,ON,CAN,CAN,73,200,2014,3,90,20172018,N,67,16,11,27
Nils Aman,VAN,L,C,2000-02-07,Avesta,--,SWE,SWE,74,179,2020,6,167,20222023,N,68,4,12,16
Joey Anderson,CHI,R,R,1998-06-19,Roseville,MN,USA,USA,72,207,2016,3,73,20182019,N,38,6,3,9
Josh Anderson,MTL,R,R,1994-05-07,Burlington,ON,CAN,CAN,75,224,2012,4,95,20142015,N,69,21,11,32
Mikey Anderson,LAK,L,D,1999-05-25,Roseville,MN,USA,USA,72,195,2017,4,103,20192020,N,77,5,15,20
Jaret Anderson-Dolan,NSH,L,C,1999-09-12,Calgary,AB,CAN,CAN,71,200,2017,2,41,20182019,N,46,7,5,12
Rasmus Andersson,CGY,R,D,1996-10-27,Malmo,--,SWE,SWE,73,202,2015,2,53,20162017,N,79,11,38,49
Mason Appleton,WPG,R,C,1996-01-15,Green Bay,WI,USA,USA,74,194,2015,6,168,20182019,N,41,5,11,16
Josh Archibald,--,R,R,1992-10-06,Regina,SK,CAN,CAN,70,176,2011,6,174,20152016,N,62,6,6,12
Joel Armia,MTL,R,R,1993-05-31,Pori,--,FIN,FIN,75,216,2011,1,16,20142015,N,43,7,7,14
Viktor Arvidsson,LAK,R,R,1993-04-08,Skelleftea,--,SWE,SWE,70,185,2014,4,112,20142015,N,77,26,33,59
Rasmus Asplund,FLA,L,C,1997-12-03,Filipstad,--,SWE,SWE,71,185,2016,2,33,20192020,N,46,2,6,8
Zach Aston-Reese,DET,L,C,1994-08-10,Staten Island,NY,USA,USA,73,205,--,--,--,20172018,N,77,10,4,14
Andreas Athanasiou,CHI,L,C,1994-08-06,Woodbridge,ON,CAN,CAN,74,190,2012,4,110,20152016,N,81,20,20,40
Nicolas Aube-Kubel,WSH,R,R,1996-05-10,Slave Lake,AB,CAN,CAN,72,207,2014,2,48,20182019,N,53,4,8,12
Mikael Backlund,CGY,L,C,1989-03-17,Vasteras,--,SWE,SWE,72,206,2007,1,24,20082009,N,82,19,37,56
Nicklas Backstrom,WSH,L,C,1987-11-23,Gavle,--,SWE,SWE,73,202,2006,1,4,20072008,N,39,7,14,21
Kevin Bahl,NJD,L,D,2000-06-27,New Westminster,BC,CAN,CAN,78,230,2018,2,55,20202021,N,42,2,6,8
Josh Bailey,--,L,R,1989-10-02,Bowmanville,ON,CAN,CAN,73,200,2008,1,9,20082009,N,64,8,17,25
Rudolfs Balcers,--,L,L,1997-04-08,Liepaja,--,LVA,LVA,71,182,2015,5,142,20182019,N,17,3,2,5
Alexander Barabanov,SJS,L,L,1994-06-17,St. Petersburg,--,RUS,RUS,70,195,--,--,--,20202021,N,68,15,32,47
Ivan Barbashev,VGK,L,C,1995-12-14,Moscow,--,RUS,RUS,72,198,2014,2,33,20162017,N,82,16,29,45
Aleksander Barkov,FLA,L,C,1995-09-02,Tampere,--,FIN,FIN,75,215,2013,1,2,20132014,N,68,23,55,78
Tyson Barrie,NSH,R,D,1991-07-26,Victoria,BC,CAN,CAN,71,197,2009,3,64,20112012,N,85,13,42,55
Justin Barron,MTL,R,D,2001-11-15,Halifax,NS,CAN,CAN,74,202,2020,1,25,20212022,N,39,4,11,15
Morgan Barron,WPG,L,C,1998-12-02,Halifax,NS,CAN,CAN,76,220,2017,6,174,20202021,N,70,8,13,21
Mathew Barzal,NYI,R,C,1997-05-26,Coquitlam,BC,CAN,CAN,73,190,2015,1,16,20162017,N,58,14,37,51
Nathan Bastian,NJD,R,R,1997-12-06,Kitchener,ON,CAN,CAN,76,205,2016,2,41,20182019,N,43,6,9,15
Drake Batherson,OTT,R,R,1998-04-27,Fort Wayne,IN,USA,CAN,75,203,2017,4,121,20182019,N,82,22,40,62
Gavin Bayreuther,DAL,L,D,1994-05-12,Canaan,NH,USA,USA,74,210,--,--,--,20182019,N,51,2,12,14
Jake Bean,CBJ,L,D,1998-06-09,Calgary,AB,CAN,CAN,73,191,2016,1,13,20182019,N,14,1,5,6
Ethan Bear,WSH,R,D,1997-06-26,Regina,SK,CAN,CAN,71,197,2015,5,124,20172018,N,61,3,13,16
Nathan Beaulieu,--,L,D,1992-12-05,Strathroy,ON,CAN,CAN,74,200,2011,1,17,20122013,N,52,0,4,4
Anthony Beauvillier,NSH,L,L,1997-06-08,Sorel-Tracy,QC,CAN,CAN,71,180,2015,1,28,20162017,N,82,18,22,40
Pierre-Edouard Bellemare,SEA,L,L,1985-03-06,Le Blanc-Mesnil,--,FRA,FRA,71,198,--,--,--,20142015,N,73,4,9,13
Kieffer Bellows,--,L,L,1998-06-10,Edina,MN,USA,USA,73,195,2016,1,19,20192020,N,28,3,0,3
Alex Belzile,NYR,R,R,1991-08-31,St-Eloi,QC,CAN,CAN,72,195,--,--,--,20202021,N,31,6,8,14
Emil Bemstrom,PIT,R,C,1999-06-01,Nykoping,--,SWE,SWE,72,195,2017,4,117,20192020,N,55,7,15,22
Matty Beniers,SEA,L,C,2002-11-05,Hingham,MA,USA,USA,74,178,2021,1,2,20212022,N,80,24,33,57
Jamie Benn,DAL,L,L,1989-07-18,Victoria,BC,CAN,CAN,74,205,2007,5,129,20092010,N,82,33,45,78
Jordie Benn,--,L,D,1987-07-26,Victoria,BC,CAN,CAN,74,201,--,--,--,20112012,N,12,1,1,2
Sam Bennett,FLA,L,C,1996-06-20,Holland Landing,ON,CAN,CAN,73,195,2014,1,4,20142015,N,63,16,24,40
Matt Benning,SJS,R,D,1994-05-25,Edmonton,AB,CAN,CAN,73,203,2012,6,175,20162017,N,77,1,23,24
Simon Benoit,TOR,L,D,1998-09-19,Laval,QC,CAN,CAN,76,205,--,--,--,20202021,N,78,3,7,10
Patrice Bergeron,--,R,C,1985-07-24,L'Ancienne-Lorette,QC,CAN,CAN,73,196,2003,2,45,20032004,N,78,27,31,58
Jonatan Berggren,DET,L,R,2000-07-16,Uppsala,--,SWE,SWE,71,197,2018,2,33,20222023,N,67,15,13,28
Jacob Bernard-Docker,OTT,R,D,2000-06-30,Canmore,AB,CAN,CAN,72,190,2018,1,26,20202021,N,19,0,1,1
Tim Berni,CBJ,L,D,2000-02-11,Mannedorf,--,CHE,CHE,72,192,2018,6,159,20222023,N,59,1,2,3
Tyler Bertuzzi,TOR,L,L,1995-02-24,Sudbury,ON,CAN,CAN,74,200,2013,2,58,20162017,N,50,8,22,30
Anders Bjork,--,L,L,1996-08-05,Mequon,WI,USA,USA,72,190,2014,5,146,20172018,N,14,2,6,8
Marcus Bjork,CBJ,R,D,1997-11-24,Umea,--,SWE,SWE,76,211,--,--,--,20222023,N,33,3,8,11
Oliver Bjorkstrand,SEA,R,R,1995-04-10,Herning,--,DNK,DNK,72,175,2013,3,89,20152016,N,81,20,25,45
Tobias Bjornfot,FLA,L,D,2001-04-06,Upplands Vasby,--,SWE,SWE,73,200,2019,1,22,20192020,N,10,0,1,1
Nick Bjugstad,ARI,R,C,1992-07-17,Minneapolis,MN,USA,USA,78,209,2010,1,19,20122013,N,78,17,12,29
Colin Blackwell,CHI,R,C,1993-03-28,North Andover,MA,USA,USA,69,190,2011,7,194,20182019,N,53,2,8,10
Sammy Blais,STL,L,L,1996-06-17,Montmagny,QC,CAN,CAN,74,206,2014,6,176,20172018,N,71,9,16,25
Nick Blankenburg,CBJ,R,D,1998-05-12,Washington,MI,USA,USA,69,177,--,--,--,20212022,N,36,4,10,14
Anton Blidh,NYR,L,L,1995-03-14,Molnlycke,--,SWE,SWE,73,196,2013,6,180,20162017,N,14,0,0,0
Teddy Blueger,VAN,L,C,1994-08-15,Riga,--,LVA,LVA,72,185,2012,2,52,20182019,N,63,4,12,16
Brock Boeser,VAN,R,R,1997-02-25,Burnsville,MN,USA,USA,73,208,2015,1,23,20162017,N,74,18,37,55
Zach Bogosian,MIN,R,D,1990-07-15,Massena,NY,USA,USA,75,231,2008,1,3,20082009,N,46,1,4,5
Samuel Bolduc,NYI,L,D,2000-12-09,Laval,QC,CAN,CAN,76,220,2019,2,57,20222023,N,17,2,1,3
Matt Boldy,MIN,L,L,2001-04-05,Milford,MA,USA,USA,74,201,2019,1,12,20212022,N,81,31,32,63
Nick Bonino,--,L,C,1988-04-20,Hartford,CT,USA,USA,73,198,2007,6,173,20092010,N,62,10,9,19
Adam Boqvist,CBJ,R,D,2000-08-15,Falun,--,SWE,SWE,72,189,2018,1,8,20192020,N,46,5,19,24
Jesper Boqvist,BOS,L,C,1998-10-30,Falun,--,SWE,SWE,73,184,2017,2,36,20192020,N,70,10,11,21
Will Borgen,SEA,R,D,1996-12-19,Moorhead,MN,USA,USA,75,204,2015,4,92,20182019,N,82,3,17,20
Robert Bortuzzo,NYI,R,D,1989-03-18,Thunder Bay,ON,CAN,CAN,76,216,2007,3,78,20112012,N,43,2,3,5
Evan Bouchard,EDM,R,D,1999-10-20,Oakville,ON,CAN,CAN,75,192,2018,1,10,20182019,N,82,8,32,40
Travis Boyd,ARI,R,C,1993-09-14,Hopkins,MN,USA,USA,72,190,2011,6,177,20172018,N,82,15,19,34
Erik Brannstrom,OTT,L,D,1999-09-02,Eksjo,--,SWE,SWE,70,185,2017,1,15,20182019,N,74,2,16,18
Derick Brassard,--,L,C,1987-09-22,Hull,QC,CAN,CAN,73,200,2006,1,6,20072008,N,62,13,10,23
Jesper Bratt,NJD,L,L,1998-07-30,Stockholm,--,SWE,SWE,70,175,2016,6,162,20172018,N,82,32,41,73
Justin Braun,--,R,D,1987-02-10,Minneapolis,MN,USA,USA,74,205,2007,7,201,20102011,N,51,0,2,2
