Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Guillaume Brisebois,VAN,L,D,1997-07-21,Longueuil,QC,CAN,CAN,74,175,2015,3,66,20182019,N,17,1,2,3
Philip Broberg,EDM,L,D,2001-06-25,Orebro,--,SWE,SWE,76,212,2019,1,8,20212022,N,46,1,7,8
TJ Brodie,TOR,L,D,1990-06-07,Chatham,ON,CAN,CAN,74,187,2008,4,114,20102011,N,58,2,12,14
Jonas Brodin,MIN,L,D,1993-07-12,Karlstad,--,SWE,SWE,74,196,2011,1,10,20122013,N,60,3,11,14
Jonny Brodzinski,NYR,R,C,1993-06-19,Ham Lake,MN,USA,USA,72,204,2013,5,148,20162017,N,17,1,1,2
Josh Brown,ARI,R,D,1994-01-21,London,ON,CAN,CAN,77,220,2013,6,152,20182019,N,68,4,3,7
Logan Brown,TBL,L,C,1998-03-05,Raleigh,NC,USA,USA,79,229,2016,1,11,20172018,N,30,2,4,6
Patrick Brown,BOS,R,C,1992-05-29,Bloomfield Hills,MI,USA,USA,73,218,--,--,--,20142015,N,61,4,8,12
Jacob Bryson,BUF,L,D,1997-11-18,London,ON,CAN,CAN,69,174,2017,4,99,20202021,N,59,1,8,9
Pavel Buchnevich,STL,L,L,1995-04-17,Cherepovets,--,RUS,RUS,73,196,2013,3,75,20162017,N,63,26,41,67
Michael Bunting,PIT,L,L,1995-09-17,Scarborough,ON,CAN,CAN,72,192,2014,4,117,20182019,N,82,23,26,49
Andre Burakovsky,SEA,L,L,1995-02-09,Klagenfurt,--,AUT,SWE,75,209,2013,1,23,20142015,N,49,13,26,39
Brent Burns,CAR,R,D,1985-03-09,Barrie,ON,CAN,CAN,77,230,2003,1,20,20032004,N,82,18,43,61
Kyle Burroughs,SJS,R,D,1995-07-12,Vancouver,BC,CAN,CAN,72,193,2013,7,196,20202021,N,48,2,3,5
Quinton Byfield,LAK,L,R,2002-08-19,Newmarket,ON,CAN,CAN,77,225,2020,1,2,20202021,N,53,3,19,22
Bowen Byram,BUF,L,D,2001-06-13,Cranbrook,BC,CAN,CAN,73,190,2019,1,4,20202021,N,42,10,14,24
Kyle Capobianco,WPG,L,D,1997-08-13,Mississauga,ON,CAN,CAN,74,201,2015,3,63,20172018,N,14,2,0,2
Brandon Carlo,BOS,R,D,1996-11-26,Colorado Springs,CO,USA,USA,77,217,2015,2,37,20162017,N,75,3,13,16
John Carlson,WSH,R,D,1990-01-10,Natick,MA,USA,USA,75,215,2008,1,27,20092010,N,40,9,20,29
Ryan Carpenter,SJS,R,C,1991-01-18,Oviedo,FL,USA,USA,73,198,--,--,--,20152016,N,22,1,2,3
Sam Carrick,EDM,R,C,1992-02-04,Markham,ON,CAN,CAN,72,200,2010,5,144,20142015,N,52,3,4,7
Alexandre Carrier,NSH,R,D,1996-10-08,Quebec City,QC,CAN,CAN,71,174,2015,4,115,20162017,N,43,2,7,9
William Carrier,VGK,L,L,1994-12-20,LaSalle,QC,CAN,CAN,74,220,2013,2,57,20162017,N,56,16,9,25
Jeff Carter,PIT,R,C,1985-01-01,London,ON,CAN,CAN,75,219,2003,1,11,20052006,N,79,13,16,29
Noah Cates,PHI,L,L,1999-02-05,Stillwater,MN,USA,USA,74,194,2017,5,137,20212022,N,82,13,25,38
Cole Caufield,MTL,R,R,2001-01-02,Mosinee,WI,USA,USA,68,175,2019,1,15,20202021,N,46,26,10,36
Cody Ceci,EDM,R,D,1993-12-21,Ottawa,ON,CAN,CAN,75,210,2012,1,15,20132014,N,80,1,14,15
Erik Cernak,TBL,R,D,1997-05-28,Kosice,--,SVK,SVK,75,230,2015,2,43,20182019,N,70,2,14,16
Thomas Chabot,OTT,L,D,1997-01-30,Sainte-Marie,QC,CAN,CAN,74,203,2015,1,18,20162017,N,68,11,30,41
Jalen Chatfield,CAR,R,D,1996-05-15,Ypsilanti,MI,USA,USA,73,188,--,--,--,20202021,N,78,6,8,14
Ben Chiarot,DET,L,D,1991-05-09,Hamilton,ON,CAN,CAN,75,224,2009,4,120,20132014,N,76,5,14,19
Alex Chiasson,--,R,R,1990-10-01,Montréal,QC,CAN,CAN,76,208,2009,2,38,20122013,N,20,6,3,9
Yegor Chinakhov,CBJ,L,R,2001-02-01,Omsk,--,RUS,RUS,73,204,2020,1,21,20212022,N,30,4,9,13
Jake Christiansen,CBJ,L,D,1999-09-12,West Vancouver,BC,CAN,CAN,72,193,--,--,--,20212022,N,24,0,4,4
Jakob Chychrun,OTT,L,D,1998-03-31,Boca Raton,FL,USA,CAN,74,205,2016,1,16,20162017,N,48,9,24,33
Filip Chytil,NYR,L,C,1999-09-05,Kromeriz,--,CZE,CZE,74,208,2017,1,21,20172018,N,74,22,23,45
Nick Cicek,VAN,L,D,2000-05-29,Winnipeg,MB,CAN,CAN,75,201,--,--,--,20222023,N,16,0,4,4
Anthony Cirelli,TBL,L,C,1997-07-15,Etobicoke,ON,CAN,CAN,73,190,2015,3,72,20172018,N,58,11,18,29
Casey Cizikas,NYI,L,C,1991-02-27,Toronto,ON,CAN,CAN,71,194,2009,4,92,20112012,N,81,6,15,21
Kale Clague,BUF,L,D,1998-06-05,Regina,SK,CAN,CAN,72,190,2016,2,51,20192020,N,33,0,4,4
Connor Clifton,BUF,R,D,1995-04-28,Matawan,NJ,USA,USA,71,192,2013,5,133,20182019,N,78,5,18,23
Cal Clutterbuck,NYI,R,R,1987-11-18,Welland,ON,CAN,CAN,71,215,2006,3,72,20072008,N,49,6,6,12
Dylan Coghlan,CAR,R,D,1998-02-19,Duncan,BC,CAN,CAN,74,208,--,--,--,20202021,N,17,0,3,3
Andrew Cogliano,COL,L,C,1987-06-14,Toronto,ON,CAN,CAN,70,179,2005,1,25,20072008,N,79,10,9,19
Ian Cole,VAN,L,D,1989-02-21,Ann Arbor,MI,USA,USA,73,225,2007,1,18,20102011,N,78,3,14,17
Blake Coleman,CGY,L,C,1991-11-28,Plano,TX,USA,USA,71,199,2011,3,75,20162017,N,82,18,20,38
Ross Colton,COL,L,C,1996-09-11,Robbinsville,NJ,USA,USA,72,194,2016,4,118,20202021,N,81,16,16,32
J.T. Compher,DET,R,L,1995-04-08,Northbrook,IL,USA,USA,72,190,2013,2,35,20162017,N,82,17,35,52
Maxime Comtois,CAR,L,L,1999-01-08,Longueuil,QC,CAN,CAN,74,210,2017,2,50,20182019,N,64,9,10,19
Kyle Connor,WPG,L,L,1996-12-09,Shelby Township,MI,USA,USA,73,183,2015,1,17,20162017,N,82,31,49,80
Andrew Copp,DET,L,C,1994-07-08,Ann Arbor,MI,USA,USA,73,203,2013,4,104,20142015,N,82,9,33,42
Paul Cotter,VGK,L,C,1999-11-16,Canton,MI,USA,USA,74,213,2018,4,115,20212022,N,55,13,5,18
Nick Cousins,FLA,L,C,1993-07-20,Belleville,ON,CAN,CAN,71,186,2011,3,68,20142015,N,79,9,18,27
Logan Couture,SJS,L,C,1989-03-28,Guelph,ON,CAN,CAN,73,206,2007,1,9,20092010,N,82,27,40,67
Charlie Coyle,BOS,R,C,1992-03-02,East Weymouth,MA,USA,USA,75,218,2010,1,28,20122013,N,82,16,29,45
Dylan Cozens,BUF,R,C,2001-02-09,Whitehorse,YT,CAN,CAN,75,195,2019,1,7,20202021,N,81,31,37,68
Sidney Crosby,PIT,L,C,1987-08-07,Cole Harbour,NS,CAN,CAN,71,200,2005,1,1,20052006,N,82,33,60,93
Lawson Crouse,ARI,L,L,1997-06-23,Mt. Brydges,ON,CAN,CAN,76,215,2015,1,11,20162017,N,77,24,21,45
Austin Czarnik,DET,R,C,1992-12-12,Detroit,MI,USA,USA,69,170,--,--,--,20162017,N,29,3,2,5
Kirby Dach,MTL,R,C,2001-01-21,Fort Saskatchewan,AB,CAN,CAN,76,217,2019,1,3,20192020,N,58,14,24,38
Evgenii Dadonov,DAL,L,R,1989-03-12,Chelyabinsk,--,RUS,RUS,72,185,2007,3,71,20092010,N,73,7,26,33
Rasmus Dahlin,BUF,L,D,2000-04-13,Lidkoping,--,SWE,SWE,75,204,2018,1,1,20182019,N,78,15,58,73
Zac Dalpe,FLA,R,C,1989-11-01,Paris,ON,CAN,CAN,74,193,2008,2,45,20102011,N,14,2,2,4
Phillip Danault,LAK,L,C,1993-02-24,Victoriaville,QC,CAN,CAN,73,200,2011,1,26,20142015,N,82,18,36,54
Laurent Dauphin,--,L,C,1995-03-27,Repentigny,QC,CAN,CAN,72,186,2013,2,39,20152016,N,21,1,0,1
Calvin de Haan,TBL,L,D,1991-05-09,Carp,ON,CAN,CAN,73,192,2009,1,12,20112012,N,53,2,10,12
Tony DeAngelo,CAR,R,D,1995-10-24,Sewell,NJ,USA,USA,71,180,2014,1,19,20162017,N,70,11,31,42
Alex DeBrincat,DET,R,R,1997-12-18,Farmington Hills,MI,USA,USA,68,180,2016,2,39,20172018,N,82,27,39,66
Jake DeBrusk,BOS,L,L,1996-10-17,Edmonton,AB,CAN,CAN,73,198,2015,1,14,20172018,N,64,27,23,50
Ty Dellandrea,DAL,R,C,2000-07-21,Port Perry,ON,CAN,CAN,74,190,2018,1,13,20202021,N,82,9,19,28
Dylan DeMelo,WPG,R,D,1993-05-01,London,ON,CAN,CAN,73,194,2011,6,179,20152016,N,75,6,21,27
Grigori Denisenko,VGK,R,L,2000-06-24,Novosibirsk,--,RUS,RUS,71,196,2018,1,15,20202021,N,18,0,3,3
Travis Dermott,ARI,L,D,1996-12-22,Newmarket,ON,CAN,CAN,72,202,2015,2,34,20172018,N,11,1,0,1
Vincent Desharnais,EDM,R,D,1996-05-29,Laval,QC,CAN,CAN,79,226,2016,7,183,20222023,N,36,0,5,5
Nicolas Deslauriers,PHI,L,L,1991-02-22,LaSalle,QC,CAN,CAN,73,218,2009,3,84,20132014,N,80,6,6,12
Connor Dewar,TOR,L,C,1999-06-26,The Pas,MB,CAN,CAN,70,183,2018,3,92,20212022,N,81,6,12,18
Phillip Di Giuseppe,VAN,L,L,1993-10-09,Toronto,ON,CAN,CAN,72,193,2012,2,38,20152016,N,30,6,6,12
Jason Dickinson,CHI,L,C,1995-07-04,Georgetown,ON,CAN,CAN,74,200,2013,1,29,20152016,N,78,9,21,30
Brenden Dillon,WPG,L,D,1990-11-13,New Westminster,BC,CAN,CAN,76,225,--,--,--,20112012,N,82,2,21,23
Noah Dobson,NYI,R,D,2000-01-07,Summerside,PE,CAN,CAN,76,200,2018,1,12,20192020,N,78,13,36,49
Max Domi,TOR,L,C,1995-03-02,Winnipeg,MB,CAN,CAN,70,208,2013,1,12,20152016,N,80,20,36,56
Ryan Donato,CHI,L,C,1996-04-09,Boston,MA,USA,USA,72,190,2014,2,56,20172018,N,71,14,13,27
Pavel Dorofeyev,VGK,L,L,2000-10-26,Nizhny Tagil,--,RUS,RUS,73,194,2019,3,79,20212022,N,18,7,2,9
Drew Doughty,LAK,R,D,1989-12-08,London,ON,CAN,CAN,73,210,2008,1,2,20082009,N,81,9,43,52
Nic Dowd,WSH,R,C,1990-05-27,Huntsville,AL,USA,USA,73,193,2009,7,198,20152016,N,65,13,12,25
Leon Draisaitl,EDM,L,C,1995-10-27,Cologne,--,DEU,DEU,74,209,2014,1,3,20142015,N,80,52,76,128
Sheldon Dries,VAN,L,C,1994-04-23,Macomb,MI,USA,USA,69,180,--,--,--,20182019,N,63,11,6,17
Jonathan Drouin,COL,L,L,1995-03-28,Ste-Agathe,QC,CAN,CAN,71,198,2013,1,3,20142015,N,58,2,27,29
Jack Drury,CAR,L,C,2000-02-03,New York,NY,USA,USA,71,174,2018,2,42,20212022,N,38,2,6,8
Dillon Dube,CGY,L,C,1998-07-20,Golden,BC,CAN,CAN,71,185,2016,2,56,20182019,N,82,18,27,45
Pierre-Luc Dubois,LAK,L,C,1998-06-24,Ste-Agathe-des-Monts,QC,CAN,CAN,76,225,2016,1,3,20172018,N,73,27,36,63
Matt Duchene,DAL,L,C,1991-01-16,Haliburton,ON,CAN,CAN,73,210,2009,1,3,20092010,N,71,22,34,56
Anthony Duclair,TBL,L,L,1995-08-26,Pointe-Claire,QC,CAN,CAN,71,197,2013,3,80,20142015,N,20,2,7,9
Walker Duehr,CGY,R,R,1997-11-23,Sioux Falls,SD,USA,USA,74,210,--,--,--,20212022,N,27,7,4,11
Brandon Duhaime,COL,L,R,1997-05-22,Coral Springs,FL,USA,USA,74,200,2016,4,106,20212022,N,51,9,1,10
Mathew Dumba,TBL,R,D,1994-07-25,Regina,SK,CAN,CAN,72,181,2012,1,7,20132014,N,79,4,10,14
Brian Dumoulin,SEA,L,D,1991-09-06,Biddeford,ME,USA,USA,76,207,2009,2,51,20132014,N,82,1,24,25
Vince Dunn,SEA,L,D,1996-10-29,Mississauga,ON,CAN,CAN,72,200,2015,2,56,20172018,N,81,14,50,64
Sean Durzi,ARI,R,D,1998-10-21,Mississauga,ON,CAN,CAN,72,195,2018,2,52,20212022,N,72,9,29,38
Christian Dvorak,MTL,L,C,1996-02-02,Palos,IL,USA,USA,73,192,2014,2,58,20162017,N,64,10,18,28
Jordan Eberle,SEA,R,R,1990-05-15,Regina,SK,CAN,CAN,71,190,2008,1,22,20102011,N,82,20,43,63
Alexander Edler,--,L,D,1986-04-21,Ostersund,--,SWE,SWE,76,210,2004,3,91,20062007,N,64,2,9,11
Joel Edmundson,TOR,L,D,1993-06-28,Brandon,MB,CAN,CAN,77,221,2011,2,46,20152016,N,61,2,11,13
Nikolaj Ehlers,WPG,L,L,1996-02-14,Aalborg,--,DNK,DNK,72,172,2014,1,9,20152016,N,45,12,26,38
Jack Eichel,VGK,R,C,1996-10-28,North Chelmsford,MA,USA,USA,74,203,2015,1,2,20152016,N,67,27,39,66
Aaron Ekblad,FLA,R,D,1996-02-07,Windsor,ON,CAN,CAN,76,215,2014,1,1,20142015,N,71,14,24,38
Mattias Ekholm,EDM,L,D,1990-05-24,Borlange,--,SWE,SWE,77,225,2009,4,102,20112012,N,78,9,23,32
Oliver Ekman-Larsson,FLA,L,D,1991-07-17,Karlskrona,--,SWE,SWE,74,191,2009,1,6,20102011,N,54,2,20,22
Lars Eller,PIT,L,C,1989-05-08,Rodovre,--,DNK,DNK,74,205,2007,1,13,20092010,N,84,10,13,23
Andreas Englund,LAK,L,D,1996-01-21,Stockholm,--,SWE,SWE,76,200,2014,2,40,20162017,N,47,0,4,4
Pierre Engvall,NYI,L,L,1996-05-31,Ljungby,--,SWE,SWE,77,215,2014,7,188,20192020,N,76,17,13,30
MacKenzie Entwistle,CHI,R,R,1999-07-14,Georgetown,ON,CAN,CAN,75,205,2017,3,69,20202021,N,66,4,6,10
Joel Eriksson Ek,MIN,L,C,1997-01-29,Karlstad,--,SWE,SWE,75,207,2015,1,20,20162017,N,78,23,38,61
Adam Erne,EDM,L,L,1995-04-20,New Haven,CT,USA,USA,73,215,2013,2,33,20162017,N,61,8,10,18
Luke Evangelista,NSH,R,R,2002-02-21,Toronto,ON,CAN,CAN,72,183,2020,2,42,20222023,N,24,7,8,15
Jake Evans,MTL,R,C,1996-06-02,Toronto,ON,CAN,CAN,73,187,2014,7,207,20192020,N,54,2,17,19
Michael Eyssimont,TBL,L,C,1996-09-09,Littleton,CO,USA,USA,72,201,2016,5,142,20212022,N,54,5,10,15
Robby Fabbri,DET,L,C,1996-01-22,Mississauga,ON,CAN,CAN,73,185,2014,1,21,20152016,N,28,7,9,16
Dante Fabbro,NSH,R,D,1998-06-20,Coquitlam,BC,CAN,CAN,72,189,2016,1,17,20182019,N,79,2,9,11
Radek Faksa,DAL,L,C,1994-01-09,Vitkov,--,CZE,CZE,75,215,2012,1,13,20152016,N,81,11,9,20
Joel Farabee,PHI,L,L,2000-02-25,Syracuse,NY,USA,USA,72,186,2018,1,14,20192020,N,82,15,24,39
Hudson Fasching,NYI,R,R,1995-07-28,Apple Valley,MN,USA,USA,75,209,2013,4,118,20152016,N,49,10,9,19
Jesper Fast,CAR,R,R,1991-12-02,Nassjo,--,SWE,SWE,73,191,2010,6,157,20132014,N,80,10,19,29
Justin Faulk,STL,R,D,1992-03-20,South St. Paul,MN,USA,USA,72,214,2010,2,37,20112012,N,82,11,39,50
Martin Fehervary,WSH,L,D,1999-10-06,Bratislava,--,SVK,SVK,74,199,2018,2,46,20192020,N,67,6,10,16
Mario Ferraro,SJS,L,D,1998-09-17,Toronto,ON,CAN,CAN,72,209,2017,2,49,20192020,N,72,4,7,11
Kevin Fiala,LAK,L,L,1996-07-22,St. Gallen,--,CHE,CHE,72,205,2014,1,11,20142015,N,69,23,49,72
Christian Fischer,DET,R,R,1997-04-15,Chicago,IL,USA,USA,74,212,2015,2,32,20162017,N,80,13,14,27
Casey Fitzgerald,FLA,R,D,1997-02-25,North Reading,MA,USA,USA,71,183,2016,3,86,20212022,N,27,0,3,3
Cale Fleury,SEA,R,D,1998-11-19,Carlyle,SK,CAN,CAN,73,204,2017,3,87,20192020,N,12,0,1,1
Haydn Fleury,TBL,L,D,1996-07-08,Carlyle,SK,CAN,CAN,76,207,2014,1,7,20172018,N,29,0,1,1
