Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Morgan Barron,WPG,L,C,1998-12-02,Halifax,NS,CAN,CAN,76,220,2017,6,174,20202021,N,27,2,3,5
Alex Barré-Boulet,TBL,L,C,1997-05-21,Montmagny,QC,CAN,CAN,70,178,--,--,--,20202021,N,16,3,3,6
Mathew Barzal,NYI,R,C,1997-05-26,Coquitlam,BC,CAN,CAN,73,190,2015,1,16,20162017,N,73,15,44,59
Nathan Bastian,NJD,R,R,1997-12-06,Kitchener,ON,CAN,CAN,76,205,2016,2,41,20182019,N,72,12,6,18
Drake Batherson,OTT,R,R,1998-04-27,Fort Wayne,IN,USA,CAN,75,203,2017,4,121,20182019,N,46,17,27,44
Gavin Bayreuther,DAL,L,D,1994-05-12,Canaan,NH,USA,USA,74,210,--,--,--,20182019,N,43,0,8,8
Jay Beagle,--,R,C,1985-10-16,Calgary,AB,CAN,CAN,75,210,--,--,--,20082009,N,33,1,1,2
Jake Bean,CBJ,L,D,1998-06-09,Calgary,AB,CAN,CAN,73,191,2016,1,13,20182019,N,67,7,18,25
Ethan Bear,WSH,R,D,1997-06-26,Regina,SK,CAN,CAN,71,197,2015,5,124,20172018,N,58,5,9,14
Nathan Beaulieu,--,L,D,1992-12-05,Strathroy,ON,CAN,CAN,74,200,2011,1,17,20122013,N,24,0,4,4
Anthony Beauvillier,NSH,L,L,1997-06-08,Sorel-Tracy,QC,CAN,CAN,71,180,2015,1,28,20162017,N,75,12,22,34
Pierre-Edouard Bellemare,SEA,L,L,1985-03-06,Le Blanc-Mesnil,--,FRA,FRA,71,198,--,--,--,20142015,N,80,9,11,20
Kieffer Bellows,--,L,L,1998-06-10,Edina,MN,USA,USA,73,195,2016,1,19,20192020,N,45,6,13,19
Alex Belzile,NYR,R,R,1991-08-31,St-Eloi,QC,CAN,CAN,72,195,--,--,--,20202021,N,11,0,0,0
Emil Bemstrom,PIT,R,C,1999-06-01,Nykoping,--,SWE,SWE,72,195,2017,4,117,20192020,N,41,6,5,11
Matty Beniers,SEA,L,C,2002-11-05,Hingham,MA,USA,USA,74,178,2021,1,2,20212022,N,10,3,6,9
Jamie Benn,DAL,L,L,1989-07-18,Victoria,BC,CAN,CAN,74,205,2007,5,129,20092010,N,82,18,28,46
Jordie Benn,--,L,D,1987-07-26,Victoria,BC,CAN,CAN,74,201,--,--,--,20112012,N,39,1,7,8
Sam Bennett,FLA,L,C,1996-06-20,Holland Landing,ON,CAN,CAN,73,195,2014,1,4,20142015,N,71,28,21,49
Matt Benning,SJS,R,D,1994-05-25,Edmonton,AB,CAN,CAN,73,203,2012,6,175,20162017,N,65,0,11,11
Simon Benoit,TOR,L,D,1998-09-19,Laval,QC,CAN,CAN,76,205,--,--,--,20202021,N,53,1,4,5
Tyler Benson,--,L,L,1998-03-15,Edmonton,AB,CAN,CAN,72,190,2016,2,32,20192020,N,29,1,1,2
Patrice Bergeron,--,R,C,1985-07-24,L'Ancienne-Lorette,QC,CAN,CAN,73,196,2003,2,45,20032004,N,73,25,40,65
Tyler Bertuzzi,TOR,L,L,1995-02-24,Sudbury,ON,CAN,CAN,74,200,2013,2,58,20162017,N,68,30,32,62
Anders Bjork,--,L,L,1996-08-05,Mequon,WI,USA,USA,72,190,2014,5,146,20172018,N,58,5,3,8
Oliver Bjorkstrand,SEA,R,R,1995-04-10,Herning,--,DNK,DNK,72,175,2013,3,89,20152016,N,80,28,29,57
Tobias Bjornfot,FLA,L,D,2001-04-06,Upplands Vasby,--,SWE,SWE,73,200,2019,1,22,20192020,N,70,0,8,8
Nick Bjugstad,ARI,R,C,1992-07-17,Minneapolis,MN,USA,USA,78,209,2010,1,19,20122013,N,57,7,6,13
Colin Blackwell,CHI,R,C,1993-03-28,North Andover,MA,USA,USA,69,190,2011,7,194,20182019,N,58,10,10,20
Sammy Blais,STL,L,L,1996-06-17,Montmagny,QC,CAN,CAN,74,206,2014,6,176,20172018,N,14,0,4,4
Anton Blidh,NYR,L,L,1995-03-14,Molnlycke,--,SWE,SWE,73,196,2013,6,180,20162017,N,32,2,7,9
Teddy Blueger,VAN,L,C,1994-08-15,Riga,--,LVA,LVA,72,185,2012,2,52,20182019,N,65,9,19,28
Brock Boeser,VAN,R,R,1997-02-25,Burnsville,MN,USA,USA,73,208,2015,1,23,20162017,N,71,23,23,46
Zach Bogosian,MIN,R,D,1990-07-15,Massena,NY,USA,USA,75,231,2008,1,3,20082009,N,48,3,5,8
Matt Boldy,MIN,L,L,2001-04-05,Milford,MA,USA,USA,74,201,2019,1,12,20212022,N,47,15,24,39
Nick Bonino,--,L,C,1988-04-20,Hartford,CT,USA,USA,73,198,2007,6,173,20092010,N,80,16,10,26
Adam Boqvist,CBJ,R,D,2000-08-15,Falun,--,SWE,SWE,72,189,2018,1,8,20192020,N,52,11,11,22
Jesper Boqvist,BOS,L,C,1998-10-30,Falun,--,SWE,SWE,73,184,2017,2,36,20192020,N,56,10,13,23
Will Borgen,SEA,R,D,1996-12-19,Moorhead,MN,USA,USA,75,204,2015,4,92,20182019,N,36,2,6,8
Henrik Borgstrom,WSH,L,C,1997-08-06,Helsinki,--,FIN,FIN,75,199,2016,1,23,20172018,N,52,4,3,7
Mark Borowiecki,--,L,D,1989-07-12,Ottawa,ON,CAN,CAN,74,204,2008,5,139,20112012,N,57,0,4,4
Robert Bortuzzo,NYI,R,D,1989-03-18,Thunder Bay,ON,CAN,CAN,76,216,2007,3,78,20112012,N,73,1,5,6
Evan Bouchard,EDM,R,D,1999-10-20,Oakville,ON,CAN,CAN,75,192,2018,1,10,20182019,N,81,12,31,43
Travis Boyd,ARI,R,C,1993-09-14,Hopkins,MN,USA,USA,72,190,2011,6,177,20172018,N,74,17,18,35
Brian Boyle,--,L,C,1984-12-18,Hingham,MA,USA,USA,78,245,2003,1,26,20072008,N,66,11,10,21
Tyler Bozak,--,R,C,1986-03-19,Regina,SK,CAN,CAN,73,187,--,--,--,20092010,N,50,3,9,12
Erik Brannstrom,OTT,L,D,1999-09-02,Eksjo,--,SWE,SWE,70,185,2017,1,15,20182019,N,53,0,14,14
Derick Brassard,--,L,C,1987-09-22,Hull,QC,CAN,CAN,73,200,2006,1,6,20072008,N,46,8,11,19
Jesper Bratt,NJD,L,L,1998-07-30,Stockholm,--,SWE,SWE,70,175,2016,6,162,20172018,N,76,26,47,73
Justin Braun,--,R,D,1987-02-10,Minneapolis,MN,USA,USA,74,205,2007,7,201,20102011,N,69,6,12,18
Bobby Brink,PHI,R,R,2001-07-08,Minnetonka,MN,USA,USA,68,169,2019,2,34,20212022,N,10,0,4,4
Philip Broberg,EDM,L,D,2001-06-25,Orebro,--,SWE,SWE,76,212,2019,1,8,20212022,N,23,1,2,3
TJ Brodie,TOR,L,D,1990-06-07,Chatham,ON,CAN,CAN,74,187,2008,4,114,20102011,N,82,4,24,28
Jonas Brodin,MIN,L,D,1993-07-12,Karlstad,--,SWE,SWE,74,196,2011,1,10,20122013,N,73,5,25,30
Jonny Brodzinski,NYR,R,C,1993-06-19,Ham Lake,MN,USA,USA,72,204,2013,5,148,20162017,N,22,1,1,2
Adam Brooks,PHI,L,C,1996-05-06,Winnipeg,MB,CAN,CAN,72,179,2016,4,92,20192020,N,25,2,1,3
Connor Brown,EDM,R,R,1994-01-14,Toronto,ON,CAN,CAN,72,184,2012,6,156,20152016,N,64,10,29,39
Dustin Brown,--,R,R,1984-11-04,Ithaca,NY,USA,USA,72,205,2003,1,13,20032004,N,64,9,19,28
Josh Brown,ARI,R,D,1994-01-21,London,ON,CAN,CAN,77,220,2013,6,152,20182019,N,52,0,6,6
Logan Brown,TBL,L,C,1998-03-05,Raleigh,NC,USA,USA,79,229,2016,1,11,20172018,N,39,4,7,11
Patrick Brown,BOS,R,C,1992-05-29,Bloomfield Hills,MI,USA,USA,73,218,--,--,--,20142015,N,44,4,5,9
Jacob Bryson,BUF,L,D,1997-11-18,London,ON,CAN,CAN,69,174,2017,4,99,20202021,N,73,1,9,10
Pavel Buchnevich,STL,L,L,1995-04-17,Cherepovets,--,RUS,RUS,73,196,2013,3,75,20162017,N,73,30,46,76
Connor Bunnaman,--,L,C,1998-04-16,Guelph,ON,CAN,CAN,73,207,2016,4,109,20192020,N,15,0,0,0
Michael Bunting,PIT,L,L,1995-09-17,Scarborough,ON,CAN,CAN,72,192,2014,4,117,20182019,N,79,23,40,63
Andre Burakovsky,SEA,L,L,1995-02-09,Klagenfurt,--,AUT,SWE,75,209,2013,1,23,20142015,N,80,22,39,61
Brent Burns,CAR,R,D,1985-03-09,Barrie,ON,CAN,CAN,77,230,2003,1,20,20032004,N,82,10,44,54
Kyle Burroughs,SJS,R,D,1995-07-12,Vancouver,BC,CAN,CAN,72,193,2013,7,196,20202021,N,42,1,4,5
Will Butcher,MIN,L,D,1995-01-06,Sun Prairie,WI,USA,USA,70,195,2013,5,123,20172018,N,37,2,6,8
Quinton Byfield,LAK,L,R,2002-08-19,Newmarket,ON,CAN,CAN,77,225,2020,1,2,20202021,N,40,5,5,10
Bowen Byram,BUF,L,D,2001-06-13,Cranbrook,BC,CAN,CAN,73,190,2019,1,4,20202021,N,30,5,12,17
Paul Byron,--,L,L,1989-04-27,Ottawa,ON,CAN,CAN,69,164,2007,6,179,20102011,N,27,4,3,7
Drake Caggiula,EDM,L,L,1994-06-20,Pickering,ON,CAN,CAN,70,179,--,--,--,20162017,N,18,2,3,5
Kyle Capobianco,WPG,L,D,1997-08-13,Mississauga,ON,CAN,CAN,74,201,2015,3,63,20172018,N,45,2,7,9
Michael Carcone,ARI,L,L,1996-05-19,Ajax,ON,CAN,CAN,69,170,--,--,--,20212022,N,21,4,2,6
Brandon Carlo,BOS,R,D,1996-11-26,Colorado Springs,CO,USA,USA,77,217,2015,2,37,20162017,N,79,6,9,15
John Carlson,WSH,R,D,1990-01-10,Natick,MA,USA,USA,75,215,2008,1,27,20092010,N,78,17,54,71
Gabriel Carlsson,--,L,D,1997-01-02,Orebro,--,SWE,SWE,77,195,2015,1,29,20162017,N,38,2,7,9
Lucas Carlsson,FLA,L,D,1997-07-05,Gavle,--,SWE,SWE,72,192,2016,4,110,20192020,N,40,3,6,9
Ryan Carpenter,SJS,R,C,1991-01-18,Oviedo,FL,USA,USA,73,198,--,--,--,20152016,N,67,3,9,12
Sam Carrick,EDM,R,C,1992-02-04,Markham,ON,CAN,CAN,72,200,2010,5,144,20142015,N,64,11,8,19
Alexandre Carrier,NSH,R,D,1996-10-08,Quebec City,QC,CAN,CAN,71,174,2015,4,115,20162017,N,77,3,27,30
William Carrier,VGK,L,L,1994-12-20,LaSalle,QC,CAN,CAN,74,220,2013,2,57,20162017,N,63,9,11,20
Jeff Carter,PIT,R,C,1985-01-01,London,ON,CAN,CAN,75,219,2003,1,11,20052006,N,76,19,26,45
Jackson Cates,--,L,C,1997-09-26,Stillwater,MN,USA,USA,72,201,--,--,--,20202021,N,11,1,0,1
Noah Cates,PHI,L,L,1999-02-05,Stillwater,MN,USA,USA,74,194,2017,5,137,20212022,N,16,5,4,9
Cole Caufield,MTL,R,R,2001-01-02,Mosinee,WI,USA,USA,68,175,2019,1,15,20202021,N,67,23,20,43
Cody Ceci,EDM,R,D,1993-12-21,Ottawa,ON,CAN,CAN,75,210,2012,1,15,20132014,N,78,5,23,28
Erik Cernak,TBL,R,D,1997-05-28,Kosice,--,SVK,SVK,75,230,2015,2,43,20182019,N,55,1,12,13
Thomas Chabot,OTT,L,D,1997-01-30,Sainte-Marie,QC,CAN,CAN,74,203,2015,1,18,20162017,N,59,7,31,38
Zdeno Chara,--,L,D,1977-03-18,Trencin,--,SVK,SVK,81,250,1996,3,56,19971998,N,72,2,12,14
Jalen Chatfield,CAR,R,D,1996-05-15,Ypsilanti,MI,USA,USA,73,188,--,--,--,20202021,N,16,0,3,3
Ben Chiarot,DET,L,D,1991-05-09,Hamilton,ON,CAN,CAN,75,224,2009,4,120,20132014,N,74,9,17,26
Alex Chiasson,--,R,R,1990-10-01,Montréal,QC,CAN,CAN,76,208,2009,2,38,20122013,N,67,13,9,22
Yegor Chinakhov,CBJ,L,R,2001-02-01,Omsk,--,RUS,RUS,73,204,2020,1,21,20212022,N,62,7,7,14
Sasha Chmelevski,SJS,R,C,1999-06-09,Huntington Beach,CA,USA,USA,72,188,2017,6,185,20202021,N,19,0,8,8
Dennis Cholowski,NYI,L,D,1998-02-15,Langley,BC,CAN,CAN,74,210,2016,1,20,20182019,N,11,0,3,3
Jakob Chychrun,OTT,L,D,1998-03-31,Boca Raton,FL,USA,CAN,74,205,2016,1,16,20162017,N,47,7,14,21
Filip Chytil,NYR,L,C,1999-09-05,Kromeriz,--,CZE,CZE,74,208,2017,1,21,20172018,N,67,8,14,22
Anthony Cirelli,TBL,L,C,1997-07-15,Etobicoke,ON,CAN,CAN,73,190,2015,3,72,20172018,N,76,17,26,43
Casey Cizikas,NYI,L,C,1991-02-27,Toronto,ON,CAN,CAN,71,194,2009,4,92,20112012,N,74,10,6,16
Kale Clague,BUF,L,D,1998-06-05,Regina,SK,CAN,CAN,72,190,2016,2,51,20192020,N,36,2,8,10
Kyle Clifford,TOR,L,L,1991-01-13,Ayr,ON,CAN,CAN,74,218,2009,2,35,20102011,N,25,1,3,4
Connor Clifton,BUF,R,D,1995-04-28,Matawan,NJ,USA,USA,71,192,2013,5,133,20182019,N,60,2,8,10
Cal Clutterbuck,NYI,R,R,1987-11-18,Welland,ON,CAN,CAN,71,215,2006,3,72,20072008,N,59,6,9,15
Dylan Coghlan,CAR,R,D,1998-02-19,Duncan,BC,CAN,CAN,74,208,--,--,--,20202021,N,59,3,10,13
Andrew Cogliano,COL,L,C,1987-06-14,Toronto,ON,CAN,CAN,70,179,2005,1,25,20072008,N,74,4,12,16
Ian Cole,VAN,L,D,1989-02-21,Ann Arbor,MI,USA,USA,73,225,2007,1,18,20102011,N,75,2,17,19
Blake Coleman,CGY,L,C,1991-11-28,Plano,TX,USA,USA,71,199,2011,3,75,20162017,N,81,16,17,33
Ross Colton,COL,L,C,1996-09-11,Robbinsville,NJ,USA,USA,72,194,2016,4,118,20202021,N,79,22,17,39
J.T. Compher,DET,R,L,1995-04-08,Northbrook,IL,USA,USA,72,190,2013,2,35,20162017,N,70,18,15,33
Maxime Comtois,CAR,L,L,1999-01-08,Longueuil,QC,CAN,CAN,74,210,2017,2,50,20182019,N,52,6,10,16
Kevin Connauton,LAK,L,D,1990-02-23,Edmonton,AB,CAN,CAN,74,205,2009,3,83,20132014,N,39,1,2,3
Kyle Connor,WPG,L,L,1996-12-09,Shelby Township,MI,USA,USA,73,183,2015,1,17,20162017,N,79,47,46,93
Andrew Copp,DET,L,C,1994-07-08,Ann Arbor,MI,USA,USA,73,203,2013,4,104,20142015,N,72,21,32,53
Nick Cousins,FLA,L,C,1993-07-20,Belleville,ON,CAN,CAN,71,186,2011,3,68,20142015,N,68,9,13,22
Logan Couture,SJS,L,C,1989-03-28,Guelph,ON,CAN,CAN,73,206,2007,1,9,20092010,N,77,23,33,56
Sean Couturier,PHI,L,C,1992-12-07,Phoenix,AZ,USA,CAN,76,210,2011,1,8,20112012,N,29,6,11,17
Charlie Coyle,BOS,R,C,1992-03-02,East Weymouth,MA,USA,USA,75,218,2010,1,28,20122013,N,82,16,28,44
Dylan Cozens,BUF,R,C,2001-02-09,Whitehorse,YT,CAN,CAN,75,195,2019,1,7,20202021,N,79,13,25,38
Sidney Crosby,PIT,L,C,1987-08-07,Cole Harbour,NS,CAN,CAN,71,200,2005,1,1,20052006,N,69,31,53,84
Lawson Crouse,ARI,L,L,1997-06-23,Mt. Brydges,ON,CAN,CAN,76,215,2015,1,11,20162017,N,65,20,14,34
Austin Czarnik,DET,R,C,1992-12-12,Detroit,MI,USA,USA,69,170,--,--,--,20162017,N,17,2,5,7
Kirby Dach,MTL,R,C,2001-01-21,Fort Saskatchewan,AB,CAN,CAN,76,217,2019,1,3,20192020,N,70,9,17,26
Evgenii Dadonov,DAL,L,R,1989-03-12,Chelyabinsk,--,RUS,RUS,72,185,2007,3,71,20092010,N,78,20,23,43
Jonathan Dahlen,--,L,C,1997-12-20,Ostersund,--,SWE,SWE,71,180,2016,2,42,20212022,N,61,12,10,22
Rasmus Dahlin,BUF,L,D,2000-04-13,Lidkoping,--,SWE,SWE,75,204,2018,1,1,20182019,N,80,13,40,53
Phillip Danault,LAK,L,C,1993-02-24,Victoriaville,QC,CAN,CAN,73,200,2011,1,26,20142015,N,79,27,24,51
Justin Danforth,CBJ,R,R,1993-03-15,Oshawa,ON,CAN,CAN,68,188,--,--,--,20212022,N,45,10,4,14
Laurent Dauphin,--,L,C,1995-03-27,Repentigny,QC,CAN,CAN,72,186,2013,2,39,20152016,N,38,4,8,12
Calvin de Haan,TBL,L,D,1991-05-09,Carp,ON,CAN,CAN,73,192,2009,1,12,20112012,N,69,4,4,8
Tony DeAngelo,CAR,R,D,1995-10-24,Sewell,NJ,USA,USA,71,180,2014,1,19,20162017,N,64,10,41,51
Alex DeBrincat,DET,R,R,1997-12-18,Farmington Hills,MI,USA,USA,68,180,2016,2,39,20172018,N,82,41,37,78
Jake DeBrusk,BOS,L,L,1996-10-17,Edmonton,AB,CAN,CAN,73,198,2015,1,14,20172018,N,77,25,17,42
Danny DeKeyser,--,L,D,1990-03-07,Detroit,MI,USA,USA,75,183,--,--,--,20122013,N,59,0,11,11
Michael Del Zotto,--,L,D,1990-06-24,Stouffville,ON,CAN,CAN,72,195,2008,1,20,20092010,N,26,3,10,13
Dylan DeMelo,WPG,R,D,1993-05-01,London,ON,CAN,CAN,73,194,2011,6,179,20152016,N,76,1,12,13
Travis Dermott,ARI,L,D,1996-12-22,Newmarket,ON,CAN,CAN,72,202,2015,2,34,20172018,N,60,2,5,7
Nicolas Deslauriers,PHI,L,L,1991-02-22,LaSalle,QC,CAN,CAN,73,218,2009,3,84,20132014,N,81,8,5,13
Connor Dewar,TOR,L,C,1999-06-26,The Pas,MB,CAN,CAN,70,183,2018,3,92,20212022,N,35,2,4,6
Jason Dickinson,CHI,L,C,1995-07-04,Georgetown,ON,CAN,CAN,74,200,2013,1,29,20152016,N,62,5,6,11
Brenden Dillon,WPG,L,D,1990-11-13,New Westminster,BC,CAN,CAN,76,225,--,--,--,20112012,N,79,3,17,20
Cam Dineen,EDM,L,D,1998-06-19,Toms River,NJ,USA,USA,71,188,2016,3,68,20212022,N,34,0,7,7
Noah Dobson,NYI,R,D,2000-01-07,Summerside,PE,CAN,CAN,76,200,2018,1,12,20192020,N,80,13,38,51
Max Domi,TOR,L,C,1995-03-02,Winnipeg,MB,CAN,CAN,70,208,2013,1,12,20152016,N,72,11,28,39
Ryan Donato,CHI,L,C,1996-04-09,Boston,MA,USA,USA,72,190,2014,2,56,20172018,N,74,16,15,31
Joonas Donskoi,--,R,R,1992-04-13,Raahe,--,FIN,FIN,72,185,2010,4,99,20152016,N,75,2,20,22
Drew Doughty,LAK,R,D,1989-12-08,London,ON,CAN,CAN,73,210,2008,1,2,20082009,N,39,7,24,31
Nic Dowd,WSH,R,C,1990-05-27,Huntsville,AL,USA,USA,73,193,2009,7,198,20152016,N,64,10,14,24
Justin Dowling,NJD,L,C,1990-10-01,Calgary,AB,CAN,CAN,70,180,--,--,--,20162017,N,22,2,2,4
Leon Draisaitl,EDM,L,C,1995-10-27,Cologne,--,DEU,DEU,74,209,2014,1,3,20142015,N,80,55,55,110
Sheldon Dries,VAN,L,C,1994-04-23,Macomb,MI,USA,USA,69,180,--,--,--,20182019,N,11,2,1,3
Jonathan Drouin,COL,L,L,1995-03-28,Ste-Agathe,QC,CAN,CAN,71,198,2013,1,3,20142015,N,34,6,14,20
Jamie Drysdale,PHI,R,D,2002-04-08,Toronto,ON,CAN,CAN,71,185,2020,1,6,20202021,N,81,4,28,32
Dillon Dube,CGY,L,C,1998-07-20,Golden,BC,CAN,CAN,71,185,2016,2,56,20182019,N,79,18,14,32
Pierre-Luc Dubois,LAK,L,C,1998-06-24,Ste-Agathe-des-Monts,QC,CAN,CAN,76,225,2016,1,3,20172018,N,81,28,32,60
Matt Duchene,DAL,L,C,1991-01-16,Haliburton,ON,CAN,CAN,73,210,2009,1,3,20092010,N,78,43,43,86
Anthony Duclair,TBL,L,L,1995-08-26,Pointe-Claire,QC,CAN,CAN,71,197,2013,3,80,20142015,N,74,31,27,58
Brandon Duhaime,COL,L,R,1997-05-22,Coral Springs,FL,USA,USA,74,200,2016,4,106,20212022,N,80,6,11,17
Mathew Dumba,TBL,R,D,1994-07-25,Regina,SK,CAN,CAN,72,181,2012,1,7,20132014,N,57,7,20,27
Brian Dumoulin,SEA,L,D,1991-09-06,Biddeford,ME,USA,USA,76,207,2009,2,51,20132014,N,76,3,15,18
Vince Dunn,SEA,L,D,1996-10-29,Mississauga,ON,CAN,CAN,72,200,2015,2,56,20172018,N,73,7,28,35
Sean Durzi,ARI,R,D,1998-10-21,Mississauga,ON,CAN,CAN,72,195,2018,2,52,20212022,N,64,3,24,27
Christian Dvorak,MTL,L,C,1996-02-02,Palos,IL,USA,USA,73,192,2014,2,58,20162017,N,56,11,22,33
Ryan Dzingel,--,L,C,1992-03-09,Wheaton,IL,USA,USA,72,190,2011,7,204,20152016,N,32,5,3,8
Cody Eakin,--,L,C,1991-05-24,Winnipeg,MB,CAN,CAN,72,196,2009,3,85,20112012,N,69,4,8,12
Jordan Eberle,SEA,R,R,1990-05-15,Regina,SK,CAN,CAN,71,190,2008,1,22,20102011,N,79,21,23,44
Alexander Edler,--,L,D,1986-04-21,Ostersund,--,SWE,SWE,76,210,2004,3,91,20062007,N,41,3,16,19
Joel Edmundson,TOR,L,D,1993-06-28,Brandon,MB,CAN,CAN,77,221,2011,2,46,20152016,N,24,3,3,6
Nikolaj Ehlers,WPG,L,L,1996-02-14,Aalborg,--,DNK,DNK,72,172,2014,1,9,20152016,N,62,28,27,55
Jack Eichel,VGK,R,C,1996-10-28,North Chelmsford,MA,USA,USA,74,203,2015,1,2,20152016,N,34,14,11,25
Aaron Ekblad,FLA,R,D,1996-02-07,Windsor,ON,CAN,CAN,76,215,2014,1,1,20142015,N,61,15,42,57
Mattias Ekholm,EDM,L,D,1990-05-24,Borlange,--,SWE,SWE,77,225,2009,4,102,20112012,N,76,6,25,31
Oliver Ekman-Larsson,FLA,L,D,1991-07-17,Karlskrona,--,SWE,SWE,74,191,2009,1,6,20102011,N,79,5,24,29
Lars Eller,PIT,L,C,1989-05-08,Rodovre,--,DNK,DNK,74,205,2007,1,13,20092010,N,72,13,18,31
Pierre Engvall,NYI,L,L,1996-05-31,Ljungby,--,SWE,SWE,77,215,2014,7,188,20192020,N,78,15,20,35
Tyler Ennis,--,L,R,1989-10-06,Edmonton,AB,CAN,CAN,69,160,2008,1,26,20092010,N,57,8,16,24
MacKenzie Entwistle,CHI,R,R,1999-07-14,Georgetown,ON,CAN,CAN,75,205,2017,3,69,20202021,N,55,5,7,12
Loui Eriksson,--,L,L,1985-07-17,Gothenburg,--,SWE,SWE,74,179,2003,2,33,20062007,N,73,3,16,19
Joel Eriksson Ek,MIN,L,C,1997-01-29,Karlstad,--,SWE,SWE,75,207,2015,1,20,20162017,N,77,26,23,49
Adam Erne,EDM,L,L,1995-04-20,New Haven,CT,USA,USA,73,215,2013,2,33,20162017,N,79,6,13,19
Jake Evans,MTL,R,C,1996-06-02,Toronto,ON,CAN,CAN,73,187,2014,7,207,20192020,N,72,13,16,29
Robby Fabbri,DET,L,C,1996-01-22,Mississauga,ON,CAN,CAN,73,185,2014,1,21,20152016,N,56,17,13,30
Dante Fabbro,NSH,R,D,1998-06-20,Coquitlam,BC,CAN,CAN,72,189,2016,1,17,20182019,N,66,3,21,24
Radek Faksa,DAL,L,C,1994-01-09,Vitkov,--,CZE,CZE,75,215,2012,1,13,20152016,N,77,5,14,19
