Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Noel Acciari,PIT,R,C,1991-12-01,Johnston,RI,USA,USA,70,209,--,--,--,20152016,N,20,3,5,8
Calen Addison,SJS,R,D,2000-04-11,Brandon,MB,CAN,CAN,71,173,2018,2,53,20202021,N,15,2,2,4
Sebastian Aho,CAR,L,C,1997-07-26,Rauma,--,FIN,FIN,72,176,2015,2,35,20162017,N,79,37,44,81
Sebastian Aho,NYI,L,D,1996-02-17,Umea,--,SWE,SWE,70,180,2017,5,139,20172018,N,36,2,10,12
Michael Amadio,VGK,R,R,1996-05-13,Sault Ste. Marie,ON,CAN,CAN,73,200,2014,3,90,20172018,N,56,11,7,18
Josh Anderson,MTL,R,R,1994-05-07,Burlington,ON,CAN,CAN,75,224,2012,4,95,20142015,N,69,19,13,32
Mikey Anderson,LAK,L,D,1999-05-25,Roseville,MN,USA,USA,72,195,2017,4,103,20192020,N,57,2,6,8
Lias Andersson,MTL,L,C,1998-10-13,Smogen,--,SWE,SWE,72,185,2017,1,7,20172018,N,20,1,1,2
Rasmus Andersson,CGY,R,D,1996-10-27,Malmo,--,SWE,SWE,73,202,2015,2,53,20162017,N,82,4,46,50
Mason Appleton,WPG,R,C,1996-01-15,Green Bay,WI,USA,USA,74,194,2015,6,168,20182019,N,68,8,13,21
Joel Armia,MTL,R,R,1993-05-31,Pori,--,FIN,FIN,75,216,2011,1,16,20142015,N,60,6,8,14
Viktor Arvidsson,LAK,R,R,1993-04-08,Skelleftea,--,SWE,SWE,70,185,2014,4,112,20142015,N,66,20,29,49
Rasmus Asplund,FLA,L,C,1997-12-03,Filipstad,--,SWE,SWE,71,185,2016,2,33,20192020,N,80,8,19,27
Zach Aston-Reese,DET,L,C,1994-08-10,Staten Island,NY,USA,USA,73,205,--,--,--,20172018,N,69,5,10,15
Andreas Athanasiou,CHI,L,C,1994-08-06,Woodbridge,ON,CAN,CAN,74,190,2012,4,110,20152016,N,28,11,6,17
Cam Atkinson,PHI,R,R,1989-06-05,Riverside,CT,USA,USA,68,175,2008,6,157,20112012,N,73,23,27,50
Ronnie Attard,PHI,R,D,1999-03-20,White Lake,MI,USA,USA,75,208,2019,3,72,20212022,N,15,2,2,4
Nicolas Aube-Kubel,WSH,R,R,1996-05-10,Slave Lake,AB,CAN,CAN,72,207,2014,2,48,20182019,N,74,11,12,23
Mikael Backlund,CGY,L,C,1989-03-17,Vasteras,--,SWE,SWE,72,206,2007,1,24,20082009,N,82,12,27,39
Nicklas Backstrom,WSH,L,C,1987-11-23,Gavle,--,SWE,SWE,73,202,2006,1,4,20072008,N,47,6,25,31
Kevin Bahl,NJD,L,D,2000-06-27,New Westminster,BC,CAN,CAN,78,230,2018,2,55,20202021,N,17,1,3,4
Josh Bailey,--,L,R,1989-10-02,Bowmanville,ON,CAN,CAN,73,200,2008,1,9,20082009,N,74,14,30,44
Justin Bailey,SJS,R,R,1995-07-01,Buffalo,NY,USA,USA,76,214,2013,2,52,20152016,N,14,0,0,0
Rudolfs Balcers,--,L,L,1997-04-08,Liepaja,--,LVA,LVA,71,182,2015,5,142,20182019,N,61,11,12,23
Alexander Barabanov,SJS,L,L,1994-06-17,St. Petersburg,--,RUS,RUS,70,195,--,--,--,20202021,N,70,10,29,39
Ivan Barbashev,VGK,L,C,1995-12-14,Moscow,--,RUS,RUS,72,198,2014,2,33,20162017,N,81,26,34,60
Aleksander Barkov,FLA,L,C,1995-09-02,Tampere,--,FIN,FIN,75,215,2013,1,2,20132014,N,67,39,49,88
Tyson Barrie,NSH,R,D,1991-07-26,Victoria,BC,CAN,CAN,71,197,2009,3,64,20112012,N,73,7,34,41
