Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Justin Abdelkader,--,L,L,1987-02-25,Muskegon,MI,USA,USA,74,213,2005,2,42,20072008,N,82,19,23,42
Noel Acciari,PIT,R,C,1991-12-01,Johnston,RI,USA,USA,70,209,--,--,--,20152016,N,19,0,1,1
Karl Alzner,--,L,D,1988-09-24,Burnaby,BC,CAN,CAN,75,213,2007,1,5,20082009,N,82,4,17,21
Josh Anderson,MTL,R,R,1994-05-07,Burlington,ON,CAN,CAN,75,224,2012,4,95,20142015,N,12,1,3,4
Joakim Andersson,--,L,C,1989-02-05,Munkedal,--,SWE,SWE,74,211,2007,3,88,20112012,N,29,1,2,3
Andy Andreoff,--,L,C,1991-05-17,Pickering,ON,CAN,CAN,73,208,2011,3,80,20142015,N,60,8,2,10
Sven Andrighetto,--,L,R,1993-03-21,Zurich,--,CHE,CHE,70,188,2013,3,86,20142015,N,44,7,10,17
Artem Anisimov,--,L,C,1988-05-24,Yaroslavl,--,RUS,RUS,76,199,2006,2,54,20082009,N,77,20,22,42
Mark Arcobello,--,R,R,1988-08-12,Milford,CT,USA,USA,68,174,--,--,--,20122013,N,20,3,1,4
Joel Armia,MTL,R,R,1993-05-31,Pori,--,FIN,FIN,75,216,2011,1,16,20142015,N,43,4,6,10
Viktor Arvidsson,LAK,R,R,1993-04-08,Skelleftea,--,SWE,SWE,70,185,2014,4,112,20142015,N,56,8,8,16
Andreas Athanasiou,CHI,L,C,1994-08-06,Woodbridge,ON,CAN,CAN,74,190,2012,4,110,20152016,N,37,9,5,14
Cam Atkinson,PHI,R,R,1989-06-05,Riverside,CT,USA,USA,68,175,2008,6,157,20112012,N,81,27,26,53
David Backes,--,R,R,1984-05-01,Minneapolis,MN,USA,USA,75,215,2003,2,62,20062007,N,79,21,24,45
Mikael Backlund,CGY,L,C,1989-03-17,Vasteras,--,SWE,SWE,72,206,2007,1,24,20082009,N,82,21,26,47
Nicklas Backstrom,WSH,L,C,1987-11-23,Gavle,--,SWE,SWE,73,202,2006,1,4,20072008,N,75,20,50,70
Sven Baertschi,--,L,L,1992-10-05,Bern,--,CHE,CHE,71,190,2011,1,13,20112012,N,69,15,13,28
Josh Bailey,--,L,R,1989-10-02,Bowmanville,ON,CAN,CAN,73,200,2008,1,9,20082009,N,81,12,20,32
Mark Barberio,--,L,D,1990-03-23,Montréal,QC,CAN,CAN,73,200,2008,6,152,20122013,N,30,2,8,10
Aleksander Barkov,FLA,L,C,1995-09-02,Tampere,--,FIN,FIN,75,215,2013,1,2,20132014,N,66,28,31,59
Tyson Barrie,NSH,R,D,1991-07-26,Victoria,BC,CAN,CAN,71,197,2009,3,64,20112012,N,78,13,36,49
Matt Bartkowski,--,L,D,1988-06-04,Pittsburgh,PA,USA,USA,73,201,2008,7,190,20102011,N,80,6,12,18
Victor Bartley,--,L,D,1988-02-17,Ottawa,ON,CAN,CAN,72,217,--,--,--,20122013,N,10,0,0,0
Cody Bass,--,R,C,1987-01-07,Owen Sound,ON,CAN,CAN,72,205,2005,4,95,20072008,N,17,0,0,0
Jay Beagle,--,R,C,1985-10-16,Calgary,AB,CAN,CAN,75,210,--,--,--,20082009,N,57,8,9,17
Francois Beauchemin,--,L,D,1980-06-04,Sorel,QC,CAN,CAN,71,208,1998,3,75,20022003,N,82,8,26,34
Nathan Beaulieu,--,L,D,1992-12-05,Strathroy,ON,CAN,CAN,74,200,2011,1,17,20122013,N,64,2,17,19
Matt Beleskey,--,L,L,1988-06-07,Windsor,ON,CAN,CAN,72,207,2006,4,112,20082009,N,80,15,22,37
Pierre-Edouard Bellemare,SEA,L,L,1985-03-06,Le Blanc-Mesnil,--,FRA,FRA,71,198,--,--,--,20142015,N,74,7,7,14
Jamie Benn,DAL,L,L,1989-07-18,Victoria,BC,CAN,CAN,74,205,2007,5,129,20092010,N,82,41,48,89
Jordie Benn,--,L,D,1987-07-26,Victoria,BC,CAN,CAN,74,201,--,--,--,20112012,N,64,3,9,12
Beau Bennett,--,R,R,1991-11-27,Gardena,CA,USA,USA,74,195,2010,1,20,20122013,N,33,6,6,12
Sam Bennett,FLA,L,C,1996-06-20,Holland Landing,ON,CAN,CAN,73,195,2014,1,4,20142015,N,77,18,18,36
Patrice Bergeron,--,R,C,1985-07-24,L'Ancienne-Lorette,QC,CAN,CAN,73,196,2003,2,45,20032004,N,80,32,36,68
Patrik Berglund,--,L,C,1988-06-02,Västerås,--,SWE,SWE,76,215,2006,1,25,20082009,N,42,10,5,15
Steve Bernier,--,R,R,1985-03-31,Quebec City,QC,CAN,CAN,75,225,2003,1,16,20052006,N,24,1,5,6
Bryan Bickell,--,L,L,1986-03-09,Bowmanville,ON,CAN,CAN,76,223,2004,2,41,20062007,N,25,0,2,2
Alex Biega,--,R,D,1988-04-04,Montréal,QC,CAN,CAN,70,195,2006,5,147,20142015,N,51,0,7,7
Kevin Bieksa,--,R,D,1981-06-16,Grimsby,ON,CAN,CAN,73,197,2001,5,151,20052006,N,71,4,11,15
Chris Bigras,--,L,D,1995-02-22,Orillia,ON,CAN,CAN,73,191,2013,2,32,20152016,N,31,1,2,3
Anthony Bitetto,--,L,D,1990-07-15,Island Park,NY,USA,USA,73,222,2010,6,168,20142015,N,28,1,5,6
Oliver Bjorkstrand,SEA,R,R,1995-04-10,Herning,--,DNK,DNK,72,175,2013,3,89,20152016,N,12,4,4,8
Nick Bjugstad,ARI,R,C,1992-07-17,Minneapolis,MN,USA,USA,78,209,2010,1,19,20122013,N,67,15,19,34
Joseph Blandisi,--,L,C,1994-07-18,Markham,ON,CAN,CAN,72,184,2012,6,162,20152016,N,41,5,12,17
Mike Blunden,--,R,R,1986-12-15,Toronto,ON,CAN,CAN,76,217,2005,2,43,20062007,N,20,3,2,5
Andrew Bodnarchuk,--,L,D,1988-07-11,Drumheller,AB,CAN,CAN,71,195,2006,5,128,20092010,N,37,0,4,4
Mikkel Boedker,--,L,L,1989-12-16,Brondby,--,DNK,DNK,71,207,2008,1,8,20082009,N,80,17,34,51
Zach Bogosian,MIN,R,D,1990-07-15,Massena,NY,USA,USA,75,231,2008,1,3,20082009,N,64,7,17,24
Jared Boll,--,R,R,1986-05-13,Charlotte,NC,USA,USA,75,206,2005,4,101,20072008,N,30,1,2,3
Dave Bolland,--,R,C,1986-06-05,Mimico,ON,CAN,CAN,72,184,2004,2,32,20062007,N,25,1,4,5
Brandon Bollig,--,L,L,1987-01-31,St. Charles,MO,USA,USA,74,220,--,--,--,20112012,N,54,2,2,4
Nick Bonino,--,L,C,1988-04-20,Hartford,CT,USA,USA,73,198,2007,6,173,20092010,N,63,9,20,29
Mark Borowiecki,--,L,D,1989-07-12,Ottawa,ON,CAN,CAN,74,204,2008,5,139,20112012,N,63,1,1,2
Robert Bortuzzo,NYI,R,D,1989-03-18,Thunder Bay,ON,CAN,CAN,76,216,2007,3,78,20112012,N,40,2,1,3
Reid Boucher,--,L,C,1993-09-08,Lansing,MI,USA,USA,70,195,2011,4,99,20132014,N,39,8,11,19
Lance Bouma,--,L,L,1990-03-25,Provost,AB,CAN,CAN,74,208,2008,3,78,20102011,N,44,2,5,7
