Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Gabriel Bourque,--,L,L,1990-09-23,Rimouski,QC,CAN,CAN,70,206,2009,5,132,20112012,N,22,1,3,4
Rene Bourque,--,L,R,1981-12-10,Lac La Biche,AB,CAN,CAN,74,217,--,--,--,20052006,N,49,3,5,8
Jay Bouwmeester,--,L,D,1983-09-27,Edmonton,AB,CAN,CAN,76,206,2002,1,3,20022003,N,72,3,16,19
Johnny Boychuk,--,R,D,1984-01-19,Edmonton,AB,CAN,CAN,74,227,2002,2,61,20072008,N,70,9,16,25
Brad Boyes,--,R,R,1982-04-17,Mississauga,ON,CAN,CAN,72,199,2000,1,24,20032004,N,60,8,16,24
Brian Boyle,--,L,C,1984-12-18,Hingham,MA,USA,USA,78,245,2003,1,26,20072008,N,76,13,7,20
Dan Boyle,--,R,D,1976-07-12,Ottawa,ON,CAN,CAN,71,194,--,--,--,19981999,N,74,10,14,24
Tyler Bozak,--,R,C,1986-03-19,Regina,SK,CAN,CAN,73,187,--,--,--,20092010,N,57,12,23,35
Derick Brassard,--,L,C,1987-09-22,Hull,QC,CAN,CAN,73,200,2006,1,6,20072008,N,80,27,31,58
Justin Braun,--,R,D,1987-02-10,Minneapolis,MN,USA,USA,74,205,2007,7,201,20102011,N,80,4,19,23
Connor Brickley,--,L,L,1992-02-25,Everett,MA,USA,USA,72,203,2010,2,50,20152016,N,23,1,4,5
TJ Brodie,TOR,L,D,1990-06-07,Chatham,ON,CAN,CAN,74,187,2008,4,114,20102011,N,70,6,39,45
Jonas Brodin,MIN,L,D,1993-07-12,Karlstad,--,SWE,SWE,74,196,2011,1,10,20122013,N,68,2,5,7
Kyle Brodziak,--,R,C,1984-05-25,St. Paul,AB,CAN,CAN,74,205,2003,7,214,20052006,N,76,7,4,11
Troy Brouwer,--,R,R,1985-08-17,Vancouver,BC,CAN,CAN,75,213,2004,7,214,20062007,N,82,18,21,39
Dustin Brown,--,R,R,1984-11-04,Ithaca,NY,USA,USA,72,205,2003,1,13,20032004,N,82,11,17,28
JT Brown,--,R,R,1990-07-02,Burnsville,MN,USA,USA,70,182,--,--,--,20112012,N,78,8,14,22
Mike Brown,--,R,R,1985-06-24,Chicago,IL,USA,USA,71,205,2004,5,159,20072008,N,58,2,3,5
Andre Burakovsky,SEA,L,L,1995-02-09,Klagenfurt,--,AUT,SWE,75,209,2013,1,23,20142015,N,79,17,21,38
Alexander Burmistrov,--,L,C,1991-10-21,Kazan,--,RUS,RUS,73,180,2010,1,8,20102011,N,81,7,14,21
Brent Burns,CAR,R,D,1985-03-09,Barrie,ON,CAN,CAN,77,230,2003,1,20,20032004,N,82,27,48,75
Alexandre Burrows,--,L,R,1981-04-11,Pincourt,QC,CAN,CAN,73,197,--,--,--,20052006,N,79,9,13,22
Dustin Byfuglien,--,R,D,1985-03-27,Roseau,MN,USA,USA,77,260,2003,8,245,20052006,N,81,19,34,53
Paul Byron,--,L,L,1989-04-27,Ottawa,ON,CAN,CAN,69,164,2007,6,179,20102011,N,62,11,7,18
Ryan Callahan,--,R,R,1985-03-21,Rochester,NY,USA,USA,70,187,2004,4,127,20062007,N,73,10,18,28
Matt Calvert,--,L,L,1989-12-24,Brandon,MB,CAN,CAN,71,186,2008,5,127,20102011,N,73,11,13,24
Michael Cammalleri,--,L,L,1982-06-08,Toronto,ON,CAN,CAN,69,185,2001,2,49,20022003,N,42,14,24,38
Brian Campbell,--,L,D,1979-05-23,Strathroy,ON,CAN,CAN,70,192,1997,6,156,19992000,N,82,6,25,31
Gregory Campbell,--,L,C,1983-12-17,London,ON,CAN,CAN,72,188,2002,3,67,20032004,N,82,3,8,11
Matt Carle,--,L,D,1984-09-25,Anchorage,AK,USA,USA,72,197,2003,2,47,20052006,N,64,2,7,9
John Carlson,WSH,R,D,1990-01-10,Natick,MA,USA,USA,75,215,2008,1,27,20092010,N,56,8,31,39
Daniel Carr,--,L,L,1991-11-01,Sherwood Park,AB,CAN,CAN,72,186,--,--,--,20152016,N,23,6,3,9
Connor Carrick,SEA,R,D,1994-04-13,Orland Park,IL,USA,USA,70,198,2012,5,137,20132014,N,19,2,2,4
Jeff Carter,PIT,R,C,1985-01-01,London,ON,CAN,CAN,75,219,2003,1,11,20052006,N,77,24,38,62
Ryan Carter,--,L,L,1983-08-03,White Bear Lake,MN,USA,USA,73,205,--,--,--,20072008,N,60,7,5,12
Daniel Catenacci,--,L,C,1993-03-09,Richmond Hill,ON,CAN,CAN,70,193,2011,3,77,20152016,N,11,0,0,0
Cody Ceci,EDM,R,D,1993-12-21,Ottawa,ON,CAN,CAN,75,210,2012,1,15,20132014,N,75,10,16,26
Zdeno Chara,--,L,D,1977-03-18,Trencin,--,SVK,SVK,81,250,1996,3,56,19971998,N,80,9,28,37
Ben Chiarot,DET,L,D,1991-05-09,Hamilton,ON,CAN,CAN,75,224,2009,4,120,20132014,N,70,1,9,10
Alex Chiasson,--,R,R,1990-10-01,Montréal,QC,CAN,CAN,76,208,2009,2,38,20122013,N,77,8,6,14
Jason Chimera,--,L,L,1979-05-02,Edmonton,AB,CAN,CAN,75,215,1997,5,121,20002001,N,82,20,20,40
Kyle Chipchura,--,L,C,1986-02-19,Westlock,AB,CAN,CAN,74,203,2004,1,18,20072008,N,70,4,8,12
Taylor Chorney,--,L,D,1987-04-27,Thunder Bay,ON,CAN,CAN,72,193,2005,2,36,20082009,N,55,1,5,6
Casey Cizikas,NYI,L,C,1991-02-27,Toronto,ON,CAN,CAN,71,194,2009,4,92,20112012,N,80,8,21,29
Fredrik Claesson,--,L,D,1992-11-24,Stockholm,--,SWE,SWE,73,196,2011,5,126,20152016,N,16,0,2,2
David Clarkson,--,R,R,1984-03-31,Toronto,ON,CAN,CAN,72,207,--,--,--,20062007,N,23,2,2,4
Adam Clendening,--,R,D,1992-10-26,Niagara Falls,NY,USA,USA,72,194,2011,2,36,20142015,N,29,1,6,7
Kyle Clifford,TOR,L,L,1991-01-13,Ayr,ON,CAN,CAN,74,218,2009,2,35,20102011,N,56,3,6,9
Rich Clune,--,L,L,1987-04-25,Toronto,ON,CAN,CAN,71,211,2005,3,71,20092010,N,19,0,4,4
Cal Clutterbuck,NYI,R,R,1987-11-18,Welland,ON,CAN,CAN,71,215,2006,3,72,20072008,N,77,15,8,23
Braydon Coburn,--,L,D,1985-02-27,Shaunavon,SK,CAN,CAN,77,224,2003,1,8,20052006,N,80,1,9,10
Andrew Cogliano,COL,L,C,1987-06-14,Toronto,ON,CAN,CAN,70,179,2005,1,25,20072008,N,82,9,23,32
Carlo Colaiacovo,--,L,D,1983-01-27,Toronto,ON,CAN,CAN,73,202,2001,1,17,20022003,N,36,1,4,5
Joe Colborne,--,L,C,1990-01-30,Calgary,AB,CAN,CAN,77,221,2008,1,16,20102011,N,73,19,25,44
Ian Cole,VAN,L,D,1989-02-21,Ann Arbor,MI,USA,USA,73,225,2007,1,18,20102011,N,70,0,12,12
Blake Comeau,--,R,L,1986-02-18,Meadow Lake,SK,CAN,CAN,73,200,2004,2,47,20062007,N,81,12,24,36
Erik Condra,--,R,R,1986-08-06,Trenton,MI,USA,USA,71,185,2006,7,211,20102011,N,54,6,5,11
Kevin Connauton,LAK,L,D,1990-02-23,Edmonton,AB,CAN,CAN,74,205,2009,3,83,20132014,N,65,5,12,17
Brett Connolly,--,R,R,1992-05-02,Campbell River,BC,CAN,CAN,75,198,2010,1,6,20112012,N,71,9,16,25
Andrew Copp,DET,L,C,1994-07-08,Ann Arbor,MI,USA,USA,73,203,2013,4,104,20142015,N,77,7,6,13
Frank Corrado,--,R,D,1993-03-26,Toronto,ON,CAN,CAN,72,205,2011,5,150,20122013,N,39,1,5,6
Nick Cousins,FLA,L,C,1993-07-20,Belleville,ON,CAN,CAN,71,186,2011,3,68,20142015,N,36,6,5,11
Logan Couture,SJS,L,C,1989-03-28,Guelph,ON,CAN,CAN,73,206,2007,1,9,20092010,N,52,15,21,36
Sean Couturier,PHI,L,C,1992-12-07,Phoenix,AZ,USA,CAN,76,210,2011,1,8,20112012,N,63,11,28,39
Jared Cowen,--,L,D,1991-01-25,Saskatoon,SK,CAN,CAN,77,238,2009,1,9,20092010,N,37,0,4,4
Charlie Coyle,BOS,R,C,1992-03-02,East Weymouth,MA,USA,USA,75,218,2010,1,28,20122013,N,82,21,21,42
Adam Cracknell,--,R,R,1985-07-15,Prince Albert,SK,CAN,CAN,75,209,2004,9,279,20102011,N,52,5,5,10
Sidney Crosby,PIT,L,C,1987-08-07,Cole Harbour,NS,CAN,CAN,71,200,2005,1,1,20052006,N,80,36,49,85
Matt Cullen,--,L,C,1976-11-02,Virginia,MN,USA,USA,73,202,1996,2,35,19971998,N,82,16,16,32
Craig Cunningham,--,R,L,1990-09-13,Trail,BC,CAN,CAN,70,184,2010,4,97,20132014,N,10,0,1,1
Klas Dahlbeck,--,L,D,1991-07-06,Katrineholm,--,SWE,SWE,75,207,2011,3,79,20142015,N,71,2,6,8
Trevor Daley,--,L,D,1983-10-09,Toronto,ON,CAN,CAN,71,199,2002,2,43,20032004,N,82,6,22,28
Phillip Danault,LAK,L,C,1993-02-24,Victoriaville,QC,CAN,CAN,73,200,2011,1,26,20142015,N,51,4,6,10
Marko Dano,--,L,C,1994-11-30,Eisenstadt,--,AUT,SVK,71,201,2013,1,27,20142015,N,34,5,5,10
Pavel Datsyuk,--,L,C,1978-07-20,Sverdlovsk,--,RUS,RUS,71,194,1998,6,171,20012002,N,66,16,33,49
Brandon Davidson,--,L,D,1991-08-21,Taber,AB,CAN,CAN,74,204,2010,6,162,20142015,N,51,4,7,11
Calvin de Haan,TBL,L,D,1991-05-09,Carp,ON,CAN,CAN,73,192,2009,1,12,20112012,N,72,2,14,16
Jacob de la Rose,--,L,L,1995-05-20,Arvika,--,SWE,SWE,75,215,2013,2,34,20142015,N,22,0,1,1
Danny DeKeyser,--,L,D,1990-03-07,Detroit,MI,USA,USA,75,183,--,--,--,20122013,N,78,8,12,20
Michael Del Zotto,--,L,D,1990-06-24,Stouffville,ON,CAN,CAN,72,195,2008,1,20,20092010,N,52,4,9,13
Dylan DeMelo,WPG,R,D,1993-05-01,London,ON,CAN,CAN,73,194,2011,6,179,20152016,N,45,2,2,4
Jason Demers,--,R,D,1988-06-09,Dorval,QC,CAN,CAN,73,195,2008,7,186,20092010,N,62,7,16,23
David Desharnais,--,L,C,1986-09-14,Laurier-Station,QC,CAN,CAN,67,180,--,--,--,20092010,N,65,11,18,29
Andrew Desjardins,--,L,L,1986-07-27,Lively,ON,CAN,CAN,73,195,--,--,--,20102011,N,77,8,5,13
Nicolas Deslauriers,PHI,L,L,1991-02-22,LaSalle,QC,CAN,CAN,73,218,2009,3,84,20132014,N,70,6,6,12
Simon Despres,--,L,D,1991-07-27,Laval,QC,CAN,CAN,76,218,2009,1,30,20112012,N,32,0,4,4
Phillip Di Giuseppe,VAN,L,L,1993-10-09,Toronto,ON,CAN,CAN,72,193,2012,2,38,20152016,N,41,7,10,17
Darren Dietz,--,R,D,1993-07-17,Medicine Hat,AB,CAN,CAN,73,201,2011,5,138,20152016,N,13,1,4,5
Brenden Dillon,WPG,L,D,1990-11-13,New Westminster,BC,CAN,CAN,76,225,--,--,--,20112012,N,76,2,9,11
Shane Doan,--,R,R,1976-10-10,Halkirk,AB,CAN,CAN,73,223,1995,1,7,19951996,N,72,28,19,47
Max Domi,TOR,L,C,1995-03-02,Winnipeg,MB,CAN,CAN,70,208,2013,1,12,20152016,N,81,18,34,52
Joonas Donskoi,--,R,R,1992-04-13,Raahe,--,FIN,FIN,72,185,2010,4,99,20152016,N,76,11,25,36
Derek Dorsett,--,R,R,1986-12-20,Kindersley,SK,CAN,CAN,72,192,2006,7,189,20082009,N,71,5,11,16
Drew Doughty,LAK,R,D,1989-12-08,London,ON,CAN,CAN,73,210,2008,1,2,20082009,N,82,14,37,51
Steve Downie,--,R,R,1987-04-03,Newmarket,ON,CAN,CAN,71,191,2005,1,29,20072008,N,26,3,3,6
Leon Draisaitl,EDM,L,C,1995-10-27,Cologne,--,DEU,DEU,74,209,2014,1,3,20142015,N,72,19,32,51
Jonathan Drouin,COL,L,L,1995-03-28,Ste-Agathe,QC,CAN,CAN,71,198,2013,1,3,20142015,N,21,4,6,10
Brandon Dubinsky,--,L,C,1986-04-29,Anchorage,AK,USA,USA,74,208,2004,2,60,20062007,N,75,17,31,48
Matt Duchene,DAL,L,C,1991-01-16,Haliburton,ON,CAN,CAN,73,210,2009,1,3,20092010,N,76,30,29,59
Anthony Duclair,TBL,L,L,1995-08-26,Pointe-Claire,QC,CAN,CAN,71,197,2013,3,80,20142015,N,81,20,24,44
Mathew Dumba,TBL,R,D,1994-07-25,Regina,SK,CAN,CAN,72,181,2012,1,7,20132014,N,81,10,16,26
Brian Dumoulin,SEA,L,D,1991-09-06,Biddeford,ME,USA,USA,76,207,2009,2,51,20132014,N,79,0,16,16
Pascal Dupuis,--,L,R,1979-04-07,Laval,QC,CAN,CAN,73,205,--,--,--,20002001,N,18,2,2,4
Ryan Dzingel,--,L,C,1992-03-09,Wheaton,IL,USA,USA,72,190,2011,7,204,20152016,N,30,3,6,9
Dave Dziurzynski,--,L,L,1989-10-06,Lloydminster,AB,CAN,CAN,75,224,--,--,--,20122013,N,14,1,3,4
Cody Eakin,--,L,C,1991-05-24,Winnipeg,MB,CAN,CAN,72,196,2009,3,85,20112012,N,82,16,19,35
Patrick Eaves,--,R,R,1984-05-01,Calgary,AB,CAN,USA,71,203,2003,1,29,20052006,N,54,11,6,17
Jordan Eberle,SEA,R,R,1990-05-15,Regina,SK,CAN,CAN,71,190,2008,1,22,20102011,N,69,25,22,47
Alexander Edler,--,L,D,1986-04-21,Ostersund,--,SWE,SWE,76,210,2004,3,91,20062007,N,52,6,14,20
Joel Edmundson,TOR,L,D,1993-06-28,Brandon,MB,CAN,CAN,77,221,2011,2,46,20152016,N,67,1,8,9
Nikolaj Ehlers,WPG,L,L,1996-02-14,Aalborg,--,DNK,DNK,72,172,2014,1,9,20152016,N,72,15,23,38
Christian Ehrhoff,--,L,D,1982-07-06,Moers,--,DEU,DEU,74,201,2001,4,106,20032004,N,48,2,10,12
Jack Eichel,VGK,R,C,1996-10-28,North Chelmsford,MA,USA,USA,74,203,2015,1,2,20152016,N,81,24,32,56
Aaron Ekblad,FLA,R,D,1996-02-07,Windsor,ON,CAN,CAN,76,215,2014,1,1,20142015,N,78,15,21,36
Mattias Ekholm,EDM,L,D,1990-05-24,Borlange,--,SWE,SWE,77,225,2009,4,102,20112012,N,82,8,27,35
Oliver Ekman-Larsson,FLA,L,D,1991-07-17,Karlskrona,--,SWE,SWE,74,191,2009,1,6,20102011,N,75,21,34,55
Patrik Elias,--,L,C,1976-04-13,Trebic,--,CZE,CZE,73,190,1994,2,51,19951996,N,16,2,6,8
Lars Eller,PIT,L,C,1989-05-08,Rodovre,--,DNK,DNK,74,205,2007,1,13,20092010,N,79,13,13,26
Stefan Elliott,--,R,D,1991-01-30,Vancouver,BC,CAN,CAN,73,190,2009,2,49,20112012,N,21,2,4,6
Ryan Ellis,PHI,R,D,1991-01-03,Hamilton,ON,CAN,CAN,70,180,2009,1,11,20112012,N,79,10,22,32
Alexei Emelin,--,L,D,1986-04-25,Togliatti,--,RUS,RUS,74,218,2004,3,84,20112012,N,72,0,12,12
Deryk Engelland,--,R,D,1982-04-03,Edmonton,AB,CAN,CAN,74,212,2000,6,194,20092010,N,69,3,9,12
Tyler Ennis,--,L,R,1989-10-06,Edmonton,AB,CAN,CAN,69,160,2008,1,26,20092010,N,23,3,8,11
Toby Enstrom,--,L,D,1984-11-05,Nordingra,--,SWE,SWE,70,180,2003,8,239,20072008,N,72,2,14,16
Jonathan Ericsson,--,L,D,1984-03-02,Karlskrona,--,SWE,SWE,76,218,2002,9,291,20072008,N,71,3,12,15
Loui Eriksson,--,L,L,1985-07-17,Gothenburg,--,SWE,SWE,74,179,2003,2,33,20062007,N,82,30,33,63
Emerson Etem,--,L,R,1992-06-16,Long Beach,CA,USA,USA,73,212,2010,1,29,20122013,N,58,7,8,15
Dennis Everberg,--,L,R,1991-12-31,Vasteras,--,SWE,SWE,76,205,--,--,--,20142015,N,15,0,0,0
Robby Fabbri,DET,L,C,1996-01-22,Mississauga,ON,CAN,CAN,73,185,2014,1,21,20152016,N,72,18,19,37
Radek Faksa,DAL,L,C,1994-01-09,Vitkov,--,CZE,CZE,75,215,2012,1,13,20152016,N,45,5,7,12
Justin Falk,--,L,D,1988-10-11,Snowflake,MB,CAN,CAN,77,223,2007,4,110,20092010,N,24,0,4,4
Bobby Farnham,--,L,R,1989-01-21,North Andover,MA,USA,USA,70,190,--,--,--,20142015,N,53,8,2,10
Jesper Fast,CAR,R,R,1991-12-02,Nassjo,--,SWE,SWE,73,191,2010,6,157,20132014,N,79,10,20,30
Justin Faulk,STL,R,D,1992-03-20,South St. Paul,MN,USA,USA,72,214,2010,2,37,20112012,N,64,16,21,37
Mark Fayne,--,R,D,1987-05-15,Nashua,NH,USA,USA,75,209,2005,5,155,20102011,N,69,2,5,7
Eric Fehr,--,R,C,1985-09-07,Winkler,MB,CAN,CAN,76,209,2003,1,18,20052006,N,55,8,6,14
Micheal Ferland,--,L,L,1992-04-20,Swan River,MB,CAN,CAN,73,217,2010,5,133,20142015,N,71,4,14,18
Landon Ferraro,--,R,C,1991-08-08,Trail,BC,CAN,CAN,72,173,2009,2,32,20132014,N,68,5,5,10
Vernon Fiddler,--,L,C,1980-05-09,Edmonton,AB,CAN,CAN,71,205,--,--,--,20022003,N,82,12,10,22
Valtteri Filppula,--,L,C,1984-03-20,Vantaa,--,FIN,FIN,72,189,2002,3,95,20052006,N,76,8,23,31
Mike Fisher,--,R,C,1980-06-05,Peterborough,ON,CAN,CAN,73,216,1998,2,44,19992000,N,70,13,10,23
Tomas Fleischmann,--,L,L,1984-05-16,Koprivnice,--,CZE,CZE,73,192,2002,2,63,20052006,N,76,14,11,25
Brian Flynn,--,R,C,1988-07-26,Lynnfield,MA,USA,USA,73,185,--,--,--,20122013,N,56,4,6,10
Marcus Foligno,MIN,L,L,1991-08-10,Buffalo,NY,USA,CAN,75,226,2009,4,104,20112012,N,75,10,13,23
Nick Foligno,CHI,L,L,1987-10-31,Buffalo,NY,USA,USA,72,210,2006,1,28,20072008,N,72,12,25,37
Christian Folin,--,R,D,1991-02-09,Gothenburg,--,SWE,SWE,76,204,--,--,--,20132014,N,26,0,4,4
Justin Fontaine,--,R,R,1987-11-06,Bonnyville,AB,CAN,CAN,70,174,--,--,--,20132014,N,60,5,11,16
Derek Forbort,BOS,L,D,1992-03-04,Duluth,MN,USA,USA,76,216,2010,1,15,20152016,N,14,1,1,2
Filip Forsberg,NSH,R,L,1994-08-13,Ostervala,--,SWE,SWE,73,205,2012,1,11,20122013,N,82,33,31,64
Cam Fowler,ANA,L,D,1991-12-05,Windsor,ON,CAN,USA,74,215,2010,1,12,20102011,N,69,5,23,28
Cody Franson,--,R,D,1987-08-08,Sicamous,BC,CAN,CAN,77,224,2005,3,79,20092010,N,59,4,13,17
Byron Froese,VGK,R,C,1991-03-12,Winkler,MB,CAN,CAN,72,195,2009,4,119,20152016,N,56,2,3,5
Michael Frolik,--,L,R,1988-02-17,Kladno,--,CZE,CZE,73,186,2006,1,10,20082009,N,64,15,17,32
Marian Gaborik,--,L,R,1982-02-14,Trencin,--,SVK,SVK,73,200,2000,1,3,20002001,N,54,12,10,22
Sam Gagner,EDM,R,C,1989-08-10,London,ON,CAN,CAN,71,200,2007,1,6,20072008,N,53,8,8,16
Alex Galchenyuk,--,L,C,1994-02-12,Milwaukee,WI,USA,USA,73,194,2012,1,3,20122013,N,82,30,26,56
Stanislav Galiev,--,R,R,1992-01-17,Moscow,--,RUS,RUS,73,197,2010,3,86,20142015,N,24,0,3,3
Brendan Gallagher,MTL,R,R,1992-05-06,Edmonton,AB,CAN,CAN,69,183,2010,5,147,20122013,N,53,19,21,40
Ryan Garbutt,--,L,C,1985-08-12,Edmonton,AB,CAN,CAN,72,195,--,--,--,20112012,N,80,7,7,14
Jake Gardiner,--,L,D,1990-07-04,Minnetonka,MN,USA,USA,74,203,2008,1,17,20112012,N,79,7,24,31
Jason Garrison,--,L,D,1984-11-13,White Rock,BC,CAN,CAN,73,218,--,--,--,20082009,N,72,5,6,11
