Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Lawson Crouse,ARI,L,L,1997-06-23,Mt. Brydges,ON,CAN,CAN,76,215,2015,1,11,20162017,N,81,23,19,42
Maxwell Crozier,TBL,R,D,2000-04-19,Calgary,AB,CAN,CAN,73,197,2019,4,120,20232024,N,13,0,2,2
Will Cuylle,NYR,L,L,2002-02-05,Toronto,ON,CAN,CAN,75,210,2020,2,60,20222023,N,81,13,8,21
Austin Czarnik,DET,R,C,1992-12-12,Detroit,MI,USA,USA,69,170,--,--,--,20162017,N,34,0,1,1
Evgenii Dadonov,DAL,L,R,1989-03-12,Chelyabinsk,--,RUS,RUS,72,185,2007,3,71,20092010,N,51,12,11,23
Rasmus Dahlin,BUF,L,D,2000-04-13,Lidkoping,--,SWE,SWE,75,204,2018,1,1,20182019,N,81,20,39,59
Phillip Danault,LAK,L,C,1993-02-24,Victoriaville,QC,CAN,CAN,73,200,2011,1,26,20142015,N,78,17,30,47
Justin Danforth,CBJ,R,R,1993-03-15,Oshawa,ON,CAN,CAN,68,188,--,--,--,20212022,N,71,10,16,26
Calvin de Haan,TBL,L,D,1991-05-09,Carp,ON,CAN,CAN,73,192,2009,1,12,20112012,N,59,3,7,10
Tony DeAngelo,CAR,R,D,1995-10-24,Sewell,NJ,USA,USA,71,180,2014,1,19,20162017,N,31,3,8,11
Alex DeBrincat,DET,R,R,1997-12-18,Farmington Hills,MI,USA,USA,68,180,2016,2,39,20172018,N,82,27,40,67
Jake DeBrusk,BOS,L,L,1996-10-17,Edmonton,AB,CAN,CAN,73,198,2015,1,14,20172018,N,80,19,21,40
Ty Dellandrea,DAL,R,C,2000-07-21,Port Perry,ON,CAN,CAN,74,190,2018,1,13,20202021,N,42,2,7,9
Dylan DeMelo,WPG,R,D,1993-05-01,London,ON,CAN,CAN,73,194,2011,6,179,20152016,N,82,3,28,31
Travis Dermott,ARI,L,D,1996-12-22,Newmarket,ON,CAN,CAN,72,202,2015,2,34,20172018,N,50,2,5,7
Vincent Desharnais,EDM,R,D,1996-05-29,Laval,QC,CAN,CAN,79,226,2016,7,183,20222023,N,78,1,10,11
Nick DeSimone,NJD,R,D,1994-11-21,East Amherst,NY,USA,USA,74,185,--,--,--,20222023,N,34,2,5,7
Nicolas Deslauriers,PHI,L,L,1991-02-22,LaSalle,QC,CAN,CAN,73,218,2009,3,84,20132014,N,60,1,3,4
Connor Dewar,TOR,L,C,1999-06-26,The Pas,MB,CAN,CAN,70,183,2018,3,92,20212022,N,74,11,8,19
Phillip Di Giuseppe,VAN,L,L,1993-10-09,Toronto,ON,CAN,CAN,72,193,2012,2,38,20152016,N,51,5,5,10
Jason Dickinson,CHI,L,C,1995-07-04,Georgetown,ON,CAN,CAN,74,200,2013,1,29,20152016,N,82,22,13,35
Brenden Dillon,WPG,L,D,1990-11-13,New Westminster,BC,CAN,CAN,76,225,--,--,--,20112012,N,77,8,12,20
Josh Doan,ARI,R,R,2002-02-01,Scottsdale,AZ,USA,USA,73,183,2021,2,37,20232024,N,11,5,4,9
Noah Dobson,NYI,R,D,2000-01-07,Summerside,PE,CAN,CAN,76,200,2018,1,12,20192020,N,79,10,60,70
Max Domi,TOR,L,C,1995-03-02,Winnipeg,MB,CAN,CAN,70,208,2013,1,12,20152016,N,80,9,38,47
Ryan Donato,CHI,L,C,1996-04-09,Boston,MA,USA,USA,72,190,2014,2,56,20172018,N,78,12,18,30
Pavel Dorofeyev,VGK,L,L,2000-10-26,Nizhny Tagil,--,RUS,RUS,73,194,2019,3,79,20212022,N,47,13,11,24
Drew Doughty,LAK,R,D,1989-12-08,London,ON,CAN,CAN,73,210,2008,1,2,20082009,N,82,15,35,50
Nic Dowd,WSH,R,C,1990-05-27,Huntsville,AL,USA,USA,73,193,2009,7,198,20152016,N,64,12,10,22
Leon Draisaitl,EDM,L,C,1995-10-27,Cologne,--,DEU,DEU,74,209,2014,1,3,20142015,N,81,41,65,106
Jonathan Drouin,COL,L,L,1995-03-28,Ste-Agathe,QC,CAN,CAN,71,198,2013,1,3,20142015,N,79,19,37,56
Jack Drury,CAR,L,C,2000-02-03,New York,NY,USA,USA,71,174,2018,2,42,20212022,N,74,8,19,27
Jamie Drysdale,PHI,R,D,2002-04-08,Toronto,ON,CAN,CAN,71,185,2020,1,6,20202021,N,34,3,7,10
Dillon Dube,CGY,L,C,1998-07-20,Golden,BC,CAN,CAN,71,185,2016,2,56,20182019,N,43,3,4,7
Pierre-Luc Dubois,LAK,L,C,1998-06-24,Ste-Agathe-des-Monts,QC,CAN,CAN,76,225,2016,1,3,20172018,N,82,16,24,40
Matt Duchene,DAL,L,C,1991-01-16,Haliburton,ON,CAN,CAN,73,210,2009,1,3,20092010,N,80,25,40,65
Anthony Duclair,TBL,L,L,1995-08-26,Pointe-Claire,QC,CAN,CAN,71,197,2013,3,80,20142015,N,73,24,18,42
Walker Duehr,CGY,R,R,1997-11-23,Sioux Falls,SD,USA,USA,74,210,--,--,--,20212022,N,40,2,5,7
Brandon Duhaime,COL,L,R,1997-05-22,Coral Springs,FL,USA,USA,74,200,2016,4,106,20212022,N,80,5,8,13
Mathew Dumba,TBL,R,D,1994-07-25,Regina,SK,CAN,CAN,72,181,2012,1,7,20132014,N,76,4,8,12
Brian Dumoulin,SEA,L,D,1991-09-06,Biddeford,ME,USA,USA,76,207,2009,2,51,20132014,N,80,6,10,16
Vince Dunn,SEA,L,D,1996-10-29,Mississauga,ON,CAN,CAN,72,200,2015,2,56,20172018,N,59,11,35,46
Sean Durzi,ARI,R,D,1998-10-21,Mississauga,ON,CAN,CAN,72,195,2018,2,52,20212022,N,76,9,32,41
Christian Dvorak,MTL,L,C,1996-02-02,Palos,IL,USA,USA,73,192,2014,2,58,20162017,N,30,5,4,9
Jordan Eberle,SEA,R,R,1990-05-15,Regina,SK,CAN,CAN,71,190,2008,1,22,20102011,N,78,17,27,44
Joel Edmundson,TOR,L,D,1993-06-28,Brandon,MB,CAN,CAN,77,221,2011,2,46,20152016,N,53,1,5,6
Adam Edstrom,NYR,L,C,2000-10-12,Karlstad,--,SWE,SWE,79,234,2019,6,161,20232024,N,11,2,0,2
Simon Edvinsson,DET,L,D,2003-02-05,Kungsbacka,--,SWE,SWE,78,209,2021,1,6,20222023,N,16,1,1,2
Nikolaj Ehlers,WPG,L,L,1996-02-14,Aalborg,--,DNK,DNK,72,172,2014,1,9,20152016,N,82,25,36,61
Jack Eichel,VGK,R,C,1996-10-28,North Chelmsford,MA,USA,USA,74,203,2015,1,2,20152016,N,63,31,37,68
Aaron Ekblad,FLA,R,D,1996-02-07,Windsor,ON,CAN,CAN,76,215,2014,1,1,20142015,N,51,4,14,18
Mattias Ekholm,EDM,L,D,1990-05-24,Borlange,--,SWE,SWE,77,225,2009,4,102,20112012,N,79,11,34,45
William Eklund,SJS,L,L,2002-10-12,Stockholm,--,SWE,SWE,71,181,2021,1,7,20212022,N,80,16,29,45
Oliver Ekman-Larsson,FLA,L,D,1991-07-17,Karlskrona,--,SWE,SWE,74,191,2009,1,6,20102011,N,80,9,23,32
Lars Eller,PIT,L,C,1989-05-08,Rodovre,--,DNK,DNK,74,205,2007,1,13,20092010,N,82,15,16,31
Ty Emberson,SJS,R,D,2000-05-23,Eau Claire,WI,USA,USA,74,193,2018,3,73,20232024,N,30,1,9,10
Andreas Englund,LAK,L,D,1996-01-21,Stockholm,--,SWE,SWE,76,200,2014,2,40,20162017,N,82,1,9,10
Pierre Engvall,NYI,L,L,1996-05-31,Ljungby,--,SWE,SWE,77,215,2014,7,188,20192020,N,74,10,18,28
MacKenzie Entwistle,CHI,R,R,1999-07-14,Georgetown,ON,CAN,CAN,75,205,2017,3,69,20202021,N,67,5,6,11
Joel Eriksson Ek,MIN,L,C,1997-01-29,Karlstad,--,SWE,SWE,75,207,2015,1,20,20162017,N,77,30,34,64
Adam Erne,EDM,L,L,1995-04-20,New Haven,CT,USA,USA,73,215,2013,2,33,20162017,N,24,1,1,2
Luke Evangelista,NSH,R,R,2002-02-21,Toronto,ON,CAN,CAN,72,183,2020,2,42,20222023,N,80,16,23,39
Jake Evans,MTL,R,C,1996-06-02,Toronto,ON,CAN,CAN,73,187,2014,7,207,20192020,N,82,7,21,28
Ryker Evans,SEA,L,D,2001-12-13,Calgary,AB,CAN,CAN,71,189,2021,2,35,20232024,N,36,1,8,9
Michael Eyssimont,TBL,L,C,1996-09-09,Littleton,CO,USA,USA,72,201,2016,5,142,20212022,N,81,11,14,25
Robby Fabbri,DET,L,C,1996-01-22,Mississauga,ON,CAN,CAN,73,185,2014,1,21,20152016,N,68,18,14,32
Dante Fabbro,NSH,R,D,1998-06-20,Coquitlam,BC,CAN,CAN,72,189,2016,1,17,20182019,N,56,3,10,13
Brock Faber,MIN,R,D,2002-08-22,Maple Grove,MN,USA,USA,73,200,2020,2,45,20222023,N,82,8,39,47
Radek Faksa,DAL,L,C,1994-01-09,Vitkov,--,CZE,CZE,75,215,2012,1,13,20152016,N,74,7,12,19
Adam Fantilli,CBJ,L,C,2004-10-12,Nobleton,ON,CAN,CAN,74,194,2023,1,3,20232024,N,49,12,15,27
Joel Farabee,PHI,L,L,2000-02-25,Syracuse,NY,USA,USA,72,186,2018,1,14,20192020,N,82,22,28,50
Hudson Fasching,NYI,R,R,1995-07-28,Apple Valley,MN,USA,USA,75,209,2013,4,118,20152016,N,45,4,10,14
Jesper Fast,CAR,R,R,1991-12-02,Nassjo,--,SWE,SWE,73,191,2010,6,157,20132014,N,73,6,13,19
Justin Faulk,STL,R,D,1992-03-20,South St. Paul,MN,USA,USA,72,214,2010,2,37,20112012,N,60,2,28,30
Martin Fehervary,WSH,L,D,1999-10-06,Bratislava,--,SVK,SVK,74,199,2018,2,46,20192020,N,66,3,13,16
Mario Ferraro,SJS,L,D,1998-09-17,Toronto,ON,CAN,CAN,72,209,2017,2,49,20192020,N,78,3,18,21
