Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Noel Acciari,PIT,R,C,1991-12-01,Johnston,RI,USA,USA,70,209,--,--,--,20152016,N,55,4,3,7
Calen Addison,SJS,R,D,2000-04-11,Brandon,MB,CAN,CAN,71,173,2018,2,53,20202021,N,72,1,16,17
Sebastian Aho,CAR,L,C,1997-07-26,Rauma,--,FIN,FIN,72,176,2015,2,35,20162017,N,78,36,53,89
Sebastian Aho,NYI,L,D,1996-02-17,Umea,--,SWE,SWE,70,180,2017,5,139,20172018,N,58,2,7,9
Nikita Alexandrov,STL,L,C,2000-09-16,Burgwedel,--,DEU,DEU,73,177,2019,2,62,20222023,N,23,0,2,2
Alexander Alexeyev,WSH,L,D,1999-11-15,St. Petersburg,--,RUS,RUS,76,213,2018,1,31,20212022,N,39,1,2,3
Michael Amadio,VGK,R,R,1996-05-13,Sault Ste. Marie,ON,CAN,CAN,73,200,2014,3,90,20172018,N,73,14,13,27
Nils Aman,VAN,L,C,2000-02-07,Avesta,--,SWE,SWE,74,179,2020,6,167,20222023,N,43,3,4,7
Joey Anderson,CHI,R,R,1998-06-19,Roseville,MN,USA,USA,72,207,2016,3,73,20182019,N,55,5,12,17
Josh Anderson,MTL,R,R,1994-05-07,Burlington,ON,CAN,CAN,75,224,2012,4,95,20142015,N,78,9,11,20
Mikey Anderson,LAK,L,D,1999-05-25,Roseville,MN,USA,USA,72,195,2017,4,103,20192020,N,74,2,16,18
Jaret Anderson-Dolan,NSH,L,C,1999-09-12,Calgary,AB,CAN,CAN,71,200,2017,2,41,20182019,N,31,1,3,4
Rasmus Andersson,CGY,R,D,1996-10-27,Malmo,--,SWE,SWE,73,202,2015,2,53,20162017,N,78,9,30,39
Mason Appleton,WPG,R,C,1996-01-15,Green Bay,WI,USA,USA,74,194,2015,6,168,20182019,N,82,14,22,36
Joel Armia,MTL,R,R,1993-05-31,Pori,--,FIN,FIN,75,216,2011,1,16,20142015,N,66,17,8,25
Viktor Arvidsson,LAK,R,R,1993-04-08,Skelleftea,--,SWE,SWE,70,185,2014,4,112,20142015,N,18,6,9,15
Andreas Athanasiou,CHI,L,C,1994-08-06,Woodbridge,ON,CAN,CAN,74,190,2012,4,110,20152016,N,28,2,7,9
Cam Atkinson,PHI,R,R,1989-06-05,Riverside,CT,USA,USA,68,175,2008,6,157,20112012,N,70,13,15,28
Ronnie Attard,PHI,R,D,1999-03-20,White Lake,MI,USA,USA,75,208,2019,3,72,20212022,N,12,0,2,2
Nicolas Aube-Kubel,WSH,R,R,1996-05-10,Slave Lake,AB,CAN,CAN,72,207,2014,2,48,20182019,N,60,6,10,16
Mikael Backlund,CGY,L,C,1989-03-17,Vasteras,--,SWE,SWE,72,206,2007,1,24,20082009,N,82,15,24,39
Kevin Bahl,NJD,L,D,2000-06-27,New Westminster,BC,CAN,CAN,78,230,2018,2,55,20202021,N,82,1,10,11
Justin Bailey,SJS,R,R,1995-07-01,Buffalo,NY,USA,USA,76,214,2013,2,52,20152016,N,59,5,9,14
Uvis Balinskis,FLA,L,D,1996-08-01,Ventspils,--,LVA,LVA,72,196,--,--,--,20232024,N,26,1,2,3
Alexander Barabanov,SJS,L,L,1994-06-17,St. Petersburg,--,RUS,RUS,70,195,--,--,--,20202021,N,46,4,9,13
Ivan Barbashev,VGK,L,C,1995-12-14,Moscow,--,RUS,RUS,72,198,2014,2,33,20162017,N,82,19,26,45
Aleksander Barkov,FLA,L,C,1995-09-02,Tampere,--,FIN,FIN,75,215,2013,1,2,20132014,N,73,23,57,80
Tyson Barrie,NSH,R,D,1991-07-26,Victoria,BC,CAN,CAN,71,197,2009,3,64,20112012,N,41,1,14,15
Justin Barron,MTL,R,D,2001-11-15,Halifax,NS,CAN,CAN,74,202,2020,1,25,20212022,N,48,7,6,13
Morgan Barron,WPG,L,C,1998-12-02,Halifax,NS,CAN,CAN,76,220,2017,6,174,20202021,N,80,11,7,18
Alex Barré-Boulet,TBL,L,C,1997-05-21,Montmagny,QC,CAN,CAN,70,178,--,--,--,20202021,N,36,6,3,9
Mathew Barzal,NYI,R,C,1997-05-26,Coquitlam,BC,CAN,CAN,73,190,2015,1,16,20162017,N,80,23,57,80
Nathan Bastian,NJD,R,R,1997-12-06,Kitchener,ON,CAN,CAN,76,205,2016,2,41,20182019,N,54,5,7,12
Drake Batherson,OTT,R,R,1998-04-27,Fort Wayne,IN,USA,CAN,75,203,2017,4,121,20182019,N,82,28,38,66
Jake Bean,CBJ,L,D,1998-06-09,Calgary,AB,CAN,CAN,73,191,2016,1,13,20182019,N,72,4,9,13
Ethan Bear,WSH,R,D,1997-06-26,Regina,SK,CAN,CAN,71,197,2015,5,124,20172018,N,24,1,3,4
Anthony Beauvillier,NSH,L,L,1997-06-08,Sorel-Tracy,QC,CAN,CAN,71,180,2015,1,28,20162017,N,60,5,12,17
Adam Beckman,MIN,L,L,2001-05-10,Saskatoon,SK,CAN,CAN,74,182,2019,3,75,20212022,N,11,0,2,2
Connor Bedard,CHI,R,C,2005-07-17,North Vancouver,BC,CAN,CAN,70,185,2023,1,1,20232024,N,68,22,39,61
John Beecher,BOS,L,C,2001-04-05,Elmira,NY,USA,USA,75,216,2019,1,30,20232024,N,52,7,3,10
Pierre-Edouard Bellemare,SEA,L,L,1985-03-06,Le Blanc-Mesnil,--,FRA,FRA,71,198,--,--,--,20142015,N,40,4,3,7
Louie Belpedio,PHI,R,D,1996-05-14,Skokie,IL,USA,USA,71,197,2014,3,80,20172018,N,12,2,2,4
Emil Bemstrom,PIT,R,C,1999-06-01,Nykoping,--,SWE,SWE,72,195,2017,4,117,20192020,N,56,8,8,16
Matty Beniers,SEA,L,C,2002-11-05,Hingham,MA,USA,USA,74,178,2021,1,2,20212022,N,77,15,22,37
Jamie Benn,DAL,L,L,1989-07-18,Victoria,BC,CAN,CAN,74,205,2007,5,129,20092010,N,82,21,39,60
Sam Bennett,FLA,L,C,1996-06-20,Holland Landing,ON,CAN,CAN,73,195,2014,1,4,20142015,N,69,20,21,41
Matt Benning,SJS,R,D,1994-05-25,Edmonton,AB,CAN,CAN,73,203,2012,6,175,20162017,N,14,0,2,2
Simon Benoit,TOR,L,D,1998-09-19,Laval,QC,CAN,CAN,76,205,--,--,--,20202021,N,64,1,4,5
Zach Benson,BUF,L,L,2005-05-12,Chilliwack,BC,CAN,CAN,70,170,2023,1,13,20232024,N,71,11,19,30
Jonatan Berggren,DET,L,R,2000-07-16,Uppsala,--,SWE,SWE,71,197,2018,2,33,20222023,N,12,2,4,6
Jacob Bernard-Docker,OTT,R,D,2000-06-30,Canmore,AB,CAN,CAN,72,190,2018,1,26,20202021,N,72,4,10,14
Tyler Bertuzzi,TOR,L,L,1995-02-24,Sudbury,ON,CAN,CAN,74,200,2013,2,58,20162017,N,80,21,22,43
Oliver Bjorkstrand,SEA,R,R,1995-04-10,Herning,--,DNK,DNK,72,175,2013,3,89,20152016,N,82,20,39,59
Nick Bjugstad,ARI,R,C,1992-07-17,Minneapolis,MN,USA,USA,78,209,2010,1,19,20122013,N,76,22,23,45
Colin Blackwell,CHI,R,C,1993-03-28,North Andover,MA,USA,USA,69,190,2011,7,194,20182019,N,44,8,4,12
Sammy Blais,STL,L,L,1996-06-17,Montmagny,QC,CAN,CAN,74,206,2014,6,176,20172018,N,53,1,6,7
Nick Blankenburg,CBJ,R,D,1998-05-12,Washington,MI,USA,USA,69,177,--,--,--,20212022,N,12,1,0,1
Teddy Blueger,VAN,L,C,1994-08-15,Riga,--,LVA,LVA,72,185,2012,2,52,20182019,N,68,6,22,28
Brock Boeser,VAN,R,R,1997-02-25,Burnsville,MN,USA,USA,73,208,2015,1,23,20162017,N,81,40,33,73
Zach Bogosian,MIN,R,D,1990-07-15,Massena,NY,USA,USA,75,231,2008,1,3,20082009,N,65,3,11,14
Samuel Bolduc,NYI,L,D,2000-12-09,Laval,QC,CAN,CAN,76,220,2019,2,57,20222023,N,34,2,3,5
Zack Bolduc,STL,L,C,2003-02-24,Trois-Rivières,QC,CAN,CAN,72,187,2021,1,17,20232024,N,25,5,4,9
Matt Boldy,MIN,L,L,2001-04-05,Milford,MA,USA,USA,74,201,2019,1,12,20212022,N,75,29,40,69
Nick Bonino,--,L,C,1988-04-20,Hartford,CT,USA,USA,73,198,2007,6,173,20092010,N,45,1,4,5
Adam Boqvist,CBJ,R,D,2000-08-15,Falun,--,SWE,SWE,72,189,2018,1,8,20192020,N,35,1,9,10
Jesper Boqvist,BOS,L,C,1998-10-30,Falun,--,SWE,SWE,73,184,2017,2,36,20192020,N,47,6,8,14
Thomas Bordeleau,SJS,L,C,2002-01-03,Houston,TX,USA,USA,70,175,2020,2,38,20212022,N,27,6,5,11
Will Borgen,SEA,R,D,1996-12-19,Moorhead,MN,USA,USA,75,204,2015,4,92,20182019,N,82,3,22,25
Robert Bortuzzo,NYI,R,D,1989-03-18,Thunder Bay,ON,CAN,CAN,76,216,2007,3,78,20112012,N,27,0,0,0
Evan Bouchard,EDM,R,D,1999-10-20,Oakville,ON,CAN,CAN,75,192,2018,1,10,20182019,N,81,18,64,82
Travis Boyd,ARI,R,C,1993-09-14,Hopkins,MN,USA,USA,72,190,2011,6,177,20172018,N,16,2,6,8
Erik Brannstrom,OTT,L,D,1999-09-02,Eksjo,--,SWE,SWE,70,185,2017,1,15,20182019,N,76,3,17,20
Jesper Bratt,NJD,L,L,1998-07-30,Stockholm,--,SWE,SWE,70,175,2016,6,162,20172018,N,82,27,56,83
Justin Brazeau,BOS,R,R,1998-02-02,New Liskeard,ON,CAN,CAN,77,220,--,--,--,20232024,N,19,5,2,7
Bobby Brink,PHI,R,R,2001-07-08,Minnetonka,MN,USA,USA,68,169,2019,2,34,20212022,N,57,11,12,23
Brendan Brisson,VGK,L,C,2001-10-22,Los Angeles,CA,USA,USA,72,191,2020,1,29,20232024,N,15,2,6,8
Philip Broberg,EDM,L,D,2001-06-25,Orebro,--,SWE,SWE,76,212,2019,1,8,20212022,N,12,0,2,2
TJ Brodie,TOR,L,D,1990-06-07,Chatham,ON,CAN,CAN,74,187,2008,4,114,20102011,N,78,1,25,26
Jonas Brodin,MIN,L,D,1993-07-12,Karlstad,--,SWE,SWE,74,196,2011,1,10,20122013,N,62,7,20,27
Jonny Brodzinski,NYR,R,C,1993-06-19,Ham Lake,MN,USA,USA,72,204,2013,5,148,20162017,N,57,6,13,19
Connor Brown,EDM,R,R,1994-01-14,Toronto,ON,CAN,CAN,72,184,2012,6,156,20152016,N,71,4,8,12
Josh Brown,ARI,R,D,1994-01-21,London,ON,CAN,CAN,77,220,2013,6,152,20182019,N,51,3,7,10
Patrick Brown,BOS,R,C,1992-05-29,Bloomfield Hills,MI,USA,USA,73,218,--,--,--,20142015,N,11,0,1,1
Jacob Bryson,BUF,L,D,1997-11-18,London,ON,CAN,CAN,69,174,2017,4,99,20202021,N,36,1,7,8
Pavel Buchnevich,STL,L,L,1995-04-17,Cherepovets,--,RUS,RUS,73,196,2013,3,75,20162017,N,80,27,36,63
Michael Bunting,PIT,L,L,1995-09-17,Scarborough,ON,CAN,CAN,72,192,2014,4,117,20182019,N,81,19,36,55
Andre Burakovsky,SEA,L,L,1995-02-09,Klagenfurt,--,AUT,SWE,75,209,2013,1,23,20142015,N,49,7,9,16
Brent Burns,CAR,R,D,1985-03-09,Barrie,ON,CAN,CAN,77,230,2003,1,20,20032004,N,82,10,33,43
Kyle Burroughs,SJS,R,D,1995-07-12,Vancouver,BC,CAN,CAN,72,193,2013,7,196,20202021,N,73,2,6,8
Quinton Byfield,LAK,L,R,2002-08-19,Newmarket,ON,CAN,CAN,77,225,2020,1,2,20202021,N,80,20,35,55
Bowen Byram,BUF,L,D,2001-06-13,Cranbrook,BC,CAN,CAN,73,190,2019,1,4,20202021,N,73,11,18,29
Michael Carcone,ARI,L,L,1996-05-19,Ajax,ON,CAN,CAN,69,170,--,--,--,20212022,N,74,21,8,29
Brandon Carlo,BOS,R,D,1996-11-26,Colorado Springs,CO,USA,USA,77,217,2015,2,37,20162017,N,76,4,10,14
John Carlson,WSH,R,D,1990-01-10,Natick,MA,USA,USA,75,215,2008,1,27,20092010,N,82,10,42,52
Leo Carlsson,ANA,L,C,2004-12-26,Karlstad,--,SWE,SWE,75,194,2023,1,2,20232024,N,55,12,17,29
Ryan Carpenter,SJS,R,C,1991-01-18,Oviedo,FL,USA,USA,73,198,--,--,--,20152016,N,62,5,7,12
Sam Carrick,EDM,R,C,1992-02-04,Markham,ON,CAN,CAN,72,200,2010,5,144,20142015,N,77,10,6,16
Alexandre Carrier,NSH,R,D,1996-10-08,Quebec City,QC,CAN,CAN,71,174,2015,4,115,20162017,N,73,4,16,20
William Carrier,VGK,L,L,1994-12-20,LaSalle,QC,CAN,CAN,74,220,2013,2,57,20162017,N,39,6,2,8
Jeff Carter,PIT,R,C,1985-01-01,London,ON,CAN,CAN,75,219,2003,1,11,20052006,N,72,11,4,15
Noah Cates,PHI,L,L,1999-02-05,Stillwater,MN,USA,USA,74,194,2017,5,137,20212022,N,59,6,12,18
Cole Caufield,MTL,R,R,2001-01-02,Mosinee,WI,USA,USA,68,175,2019,1,15,20202021,N,82,28,37,65
Cody Ceci,EDM,R,D,1993-12-21,Ottawa,ON,CAN,CAN,75,210,2012,1,15,20132014,N,79,5,20,25
Erik Cernak,TBL,R,D,1997-05-28,Kosice,--,SVK,SVK,75,230,2015,2,43,20182019,N,69,2,11,13
Thomas Chabot,OTT,L,D,1997-01-30,Sainte-Marie,QC,CAN,CAN,74,203,2015,1,18,20162017,N,51,9,21,30
Mitchell Chaffee,TBL,R,R,1998-01-26,Grand Rapids,MI,USA,USA,73,192,--,--,--,20212022,N,30,4,3,7
Rourke Chartier,OTT,L,C,1996-04-03,Saskatoon,SK,CAN,CAN,72,201,2014,5,149,20182019,N,37,2,1,3
Jalen Chatfield,CAR,R,D,1996-05-15,Ypsilanti,MI,USA,USA,73,188,--,--,--,20202021,N,72,8,14,22
Ben Chiarot,DET,L,D,1991-05-09,Hamilton,ON,CAN,CAN,75,224,2009,4,120,20132014,N,77,5,15,20
Yegor Chinakhov,CBJ,L,R,2001-02-01,Omsk,--,RUS,RUS,73,204,2020,1,21,20212022,N,53,16,13,29
Declan Chisholm,MIN,L,D,2000-01-12,Bowmanville,ON,CAN,CAN,73,190,2018,5,150,20212022,N,31,3,6,9
Jake Christiansen,CBJ,L,D,1999-09-12,West Vancouver,BC,CAN,CAN,72,193,--,--,--,20212022,N,12,0,2,2
Jakob Chychrun,OTT,L,D,1998-03-31,Boca Raton,FL,USA,CAN,74,205,2016,1,16,20162017,N,82,14,27,41
Filip Chytil,NYR,L,C,1999-09-05,Kromeriz,--,CZE,CZE,74,208,2017,1,21,20172018,N,10,0,6,6
Anthony Cirelli,TBL,L,C,1997-07-15,Etobicoke,ON,CAN,CAN,73,190,2015,3,72,20172018,N,79,20,25,45
Casey Cizikas,NYI,L,C,1991-02-27,Toronto,ON,CAN,CAN,71,194,2009,4,92,20112012,N,70,10,13,23
Brandt Clarke,LAK,R,D,2003-02-09,Nepean,ON,CAN,CAN,74,200,2021,1,8,20222023,N,16,2,4,6
Connor Clifton,BUF,R,D,1995-04-28,Matawan,NJ,USA,USA,71,192,2013,5,133,20182019,N,79,4,14,18
Cal Clutterbuck,NYI,R,R,1987-11-18,Welland,ON,CAN,CAN,71,215,2006,3,72,20072008,N,82,7,12,19
Andrew Cogliano,COL,L,C,1987-06-14,Toronto,ON,CAN,CAN,70,179,2005,1,25,20072008,N,75,6,13,19
Ian Cole,VAN,L,D,1989-02-21,Ann Arbor,MI,USA,USA,73,225,2007,1,18,20102011,N,78,2,9,11
Blake Coleman,CGY,L,C,1991-11-28,Plano,TX,USA,USA,71,199,2011,3,75,20162017,N,78,30,24,54
Ross Colton,COL,L,C,1996-09-11,Robbinsville,NJ,USA,USA,72,194,2016,4,118,20202021,N,80,17,23,40
J.T. Compher,DET,R,L,1995-04-08,Northbrook,IL,USA,USA,72,190,2013,2,35,20162017,N,77,19,29,48
Kyle Connor,WPG,L,L,1996-12-09,Shelby Township,MI,USA,USA,73,183,2015,1,17,20162017,N,65,34,27,61
Logan Cooley,ARI,L,C,2004-05-04,Pittsburgh,PA,USA,USA,70,174,2022,1,3,20232024,N,82,20,24,44
Andrew Copp,DET,L,C,1994-07-08,Ann Arbor,MI,USA,USA,73,203,2013,4,104,20142015,N,79,13,20,33
Matt Coronato,CGY,R,R,2002-11-14,Greenlawn,NY,USA,USA,70,183,2021,1,13,20222023,N,34,3,6,9
Paul Cotter,VGK,L,C,1999-11-16,Canton,MI,USA,USA,74,213,2018,4,115,20212022,N,76,7,18,25
Nick Cousins,FLA,L,C,1993-07-20,Belleville,ON,CAN,CAN,71,186,2011,3,68,20142015,N,69,7,8,15
Sean Couturier,PHI,L,C,1992-12-07,Phoenix,AZ,USA,CAN,76,210,2011,1,8,20112012,N,74,11,27,38
Charlie Coyle,BOS,R,C,1992-03-02,East Weymouth,MA,USA,USA,75,218,2010,1,28,20122013,N,82,25,35,60
Dylan Cozens,BUF,R,C,2001-02-09,Whitehorse,YT,CAN,CAN,75,195,2019,1,7,20202021,N,79,18,29,47
Louis Crevier,CHI,R,D,2001-05-04,Quebec City,QC,CAN,CAN,80,228,2020,7,188,20232024,N,24,0,3,3
Angus Crookshank,OTT,L,L,1999-10-02,North Vancouver,BC,CAN,CAN,70,181,2018,5,126,20232024,N,13,2,1,3
Sidney Crosby,PIT,L,C,1987-08-07,Cole Harbour,NS,CAN,CAN,71,200,2005,1,1,20052006,N,82,42,52,94
